[2026-01-29T13:37:28.089+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-29T13:37:28.330+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T13:36:00+00:00 [queued]>
[2026-01-29T13:37:28.362+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T13:36:00+00:00 [queued]>
[2026-01-29T13:37:28.364+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-29T13:37:28.411+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-01-29 13:36:00+00:00
[2026-01-29T13:37:28.459+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=12130) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-29T13:37:28.464+0000] {standard_task_runner.py:64} INFO - Started process 12688 to run task
[2026-01-29T13:37:28.460+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-01-29T13:36:00+00:00', '--job-id', '246', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpietcsw_d']
[2026-01-29T13:37:28.469+0000] {standard_task_runner.py:91} INFO - Job 246: Subtask download_minio
[2026-01-29T13:37:28.846+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T13:36:00+00:00 [running]> on host 035a00487d49
[2026-01-29T13:37:29.421+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-01-29T13:36:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-29T13:36:00+00:00'
[2026-01-29T13:37:29.427+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-29T13:37:32.109+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-01-29T13:37:32.160+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-01-29T13:37:32.196+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-01-29T13:37:32.246+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-01-29T13:37:32.285+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-01-29T13:37:32.331+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-01-29T13:37:32.388+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-01-29T13:37:32.433+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-01-29T13:37:32.487+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-01-29T13:37:32.516+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-01-29T13:37:32.543+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-01-29T13:37:32.575+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-01-29T13:37:32.615+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-01-29T13:37:32.650+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-01-29T13:37:32.691+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-01-29T13:37:32.725+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-01-29T13:37:32.774+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-01-29T13:37:32.813+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-01-29T13:37:32.856+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-01-29T13:37:32.893+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-01-29T13:37:32.934+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
[2026-01-29T13:37:32.966+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692636.json
[2026-01-29T13:37:33.006+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692648.json
[2026-01-29T13:37:33.056+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692661.json
[2026-01-29T13:37:33.115+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692676.json
[2026-01-29T13:37:33.161+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692688.json
[2026-01-29T13:37:33.198+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692700.json
[2026-01-29T13:37:33.228+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692719.json
[2026-01-29T13:37:33.259+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692733.json
[2026-01-29T13:37:33.288+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692747.json
[2026-01-29T13:37:33.315+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692760.json
[2026-01-29T13:37:33.349+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692778.json
[2026-01-29T13:37:33.381+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692793.json
[2026-01-29T13:37:33.410+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692812.json
[2026-01-29T13:37:33.474+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692827.json
[2026-01-29T13:37:33.548+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692839.json
[2026-01-29T13:37:33.650+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692856.json
[2026-01-29T13:37:33.704+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692873.json
[2026-01-29T13:37:33.755+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692887.json
[2026-01-29T13:37:33.805+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692909.json
[2026-01-29T13:37:33.862+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692921.json
[2026-01-29T13:37:33.905+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692940.json
[2026-01-29T13:37:33.942+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692953.json
[2026-01-29T13:37:33.969+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692969.json
[2026-01-29T13:37:33.998+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692980.json
[2026-01-29T13:37:34.021+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692991.json
[2026-01-29T13:37:34.050+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693003.json
[2026-01-29T13:37:34.072+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693016.json
[2026-01-29T13:37:34.098+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693028.json
[2026-01-29T13:37:34.119+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693040.json
[2026-01-29T13:37:34.145+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693054.json
[2026-01-29T13:37:34.196+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693066.json
[2026-01-29T13:37:34.223+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693079.json
[2026-01-29T13:37:34.260+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693090.json
[2026-01-29T13:37:34.288+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693105.json
[2026-01-29T13:37:34.316+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693118.json
[2026-01-29T13:37:34.339+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693132.json
[2026-01-29T13:37:34.366+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693144.json
[2026-01-29T13:37:34.387+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693155.json
[2026-01-29T13:37:34.414+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693167.json
[2026-01-29T13:37:34.435+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693180.json
[2026-01-29T13:37:34.458+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693191.json
[2026-01-29T13:37:34.480+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693202.json
[2026-01-29T13:37:34.501+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693213.json
