[2026-01-29T13:57:08.909+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-29T13:57:09.045+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T13:56:00+00:00 [queued]>
[2026-01-29T13:57:09.071+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T13:56:00+00:00 [queued]>
[2026-01-29T13:57:09.072+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-29T13:57:09.110+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-01-29 13:56:00+00:00
[2026-01-29T13:57:09.128+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=25836) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-29T13:57:09.135+0000] {standard_task_runner.py:64} INFO - Started process 26420 to run task
[2026-01-29T13:57:09.131+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-01-29T13:56:00+00:00', '--job-id', '277', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpad5bt5jt']
[2026-01-29T13:57:09.143+0000] {standard_task_runner.py:91} INFO - Job 277: Subtask download_minio
[2026-01-29T13:57:09.349+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T13:56:00+00:00 [running]> on host 035a00487d49
[2026-01-29T13:57:09.560+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-01-29T13:56:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-29T13:56:00+00:00'
[2026-01-29T13:57:09.562+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-29T13:57:10.125+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-01-29T13:57:10.141+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-01-29T13:57:10.156+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-01-29T13:57:10.172+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-01-29T13:57:10.187+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-01-29T13:57:10.206+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-01-29T13:57:10.225+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-01-29T13:57:10.239+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-01-29T13:57:10.255+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-01-29T13:57:10.269+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-01-29T13:57:10.288+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-01-29T13:57:10.302+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-01-29T13:57:10.314+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-01-29T13:57:10.327+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-01-29T13:57:10.346+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-01-29T13:57:10.367+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-01-29T13:57:10.384+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-01-29T13:57:10.399+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-01-29T13:57:10.412+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-01-29T13:57:10.427+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-01-29T13:57:10.440+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
