[2026-01-29T14:22:03.290+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-29T14:22:03.328+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T14:21:00+00:00 [queued]>
[2026-01-29T14:22:03.338+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T14:21:00+00:00 [queued]>
[2026-01-29T14:22:03.339+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-29T14:22:03.358+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-01-29 14:21:00+00:00
[2026-01-29T14:22:03.369+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=48030) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-29T14:22:03.370+0000] {standard_task_runner.py:64} INFO - Started process 48055 to run task
[2026-01-29T14:22:03.369+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-01-29T14:21:00+00:00', '--job-id', '317', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpw0i_aj_r']
[2026-01-29T14:22:03.372+0000] {standard_task_runner.py:91} INFO - Job 317: Subtask download_minio
[2026-01-29T14:22:03.463+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T14:21:00+00:00 [running]> on host 035a00487d49
[2026-01-29T14:22:03.628+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-01-29T14:21:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-29T14:21:00+00:00'
[2026-01-29T14:22:03.631+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-29T14:22:04.003+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-01-29T14:22:04.012+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-01-29T14:22:04.021+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-01-29T14:22:04.031+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-01-29T14:22:04.041+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-01-29T14:22:04.050+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-01-29T14:22:04.065+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-01-29T14:22:04.076+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-01-29T14:22:04.087+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-01-29T14:22:04.099+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-01-29T14:22:04.109+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-01-29T14:22:04.119+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-01-29T14:22:04.129+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-01-29T14:22:04.139+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-01-29T14:22:04.148+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-01-29T14:22:04.156+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-01-29T14:22:04.165+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-01-29T14:22:04.173+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-01-29T14:22:04.182+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-01-29T14:22:04.192+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-01-29T14:22:04.201+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
[2026-01-29T14:22:04.211+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692636.json
[2026-01-29T14:22:04.221+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692648.json
[2026-01-29T14:22:04.230+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692661.json
[2026-01-29T14:22:04.239+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692676.json
[2026-01-29T14:22:04.250+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692688.json
[2026-01-29T14:22:04.261+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692700.json
[2026-01-29T14:22:04.271+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692719.json
[2026-01-29T14:22:04.280+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692733.json
[2026-01-29T14:22:04.291+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692747.json
[2026-01-29T14:22:04.302+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692760.json
[2026-01-29T14:22:04.312+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692778.json
[2026-01-29T14:22:04.323+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692793.json
[2026-01-29T14:22:04.333+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692812.json
[2026-01-29T14:22:04.342+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692827.json
[2026-01-29T14:22:04.352+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692839.json
[2026-01-29T14:22:04.360+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692856.json
[2026-01-29T14:22:04.369+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692873.json
[2026-01-29T14:22:04.378+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692887.json
[2026-01-29T14:22:04.387+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692909.json
[2026-01-29T14:22:04.396+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692921.json
[2026-01-29T14:22:04.406+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692940.json
[2026-01-29T14:22:04.417+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692953.json
[2026-01-29T14:22:04.426+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692969.json
[2026-01-29T14:22:04.435+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692980.json
[2026-01-29T14:22:04.444+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692991.json
[2026-01-29T14:22:04.454+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693003.json
[2026-01-29T14:22:04.462+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693016.json
[2026-01-29T14:22:04.471+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693028.json
[2026-01-29T14:22:04.480+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693040.json
[2026-01-29T14:22:04.488+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693054.json
[2026-01-29T14:22:04.497+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693066.json
[2026-01-29T14:22:04.506+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693079.json
[2026-01-29T14:22:04.514+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693090.json
[2026-01-29T14:22:04.524+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693105.json
[2026-01-29T14:22:04.532+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693118.json
[2026-01-29T14:22:04.542+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693132.json
[2026-01-29T14:22:04.550+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693144.json
[2026-01-29T14:22:04.560+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693155.json
[2026-01-29T14:22:04.571+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693167.json
[2026-01-29T14:22:04.581+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693180.json
[2026-01-29T14:22:04.593+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693191.json
[2026-01-29T14:22:04.622+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693202.json
[2026-01-29T14:22:04.640+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693213.json
[2026-01-29T14:22:04.649+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693226.json
[2026-01-29T14:22:04.658+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693238.json
[2026-01-29T14:22:04.666+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693249.json
[2026-01-29T14:22:04.675+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693262.json
[2026-01-29T14:22:04.690+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693273.json
[2026-01-29T14:22:04.699+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693286.json
[2026-01-29T14:22:04.708+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693298.json
[2026-01-29T14:22:04.717+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693309.json
[2026-01-29T14:22:04.726+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693321.json
[2026-01-29T14:22:04.734+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693334.json
[2026-01-29T14:22:04.743+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693348.json
[2026-01-29T14:22:04.753+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693359.json
[2026-01-29T14:22:04.762+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693370.json
[2026-01-29T14:22:04.774+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693381.json
[2026-01-29T14:22:04.786+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693392.json
[2026-01-29T14:22:04.796+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693406.json
[2026-01-29T14:22:04.807+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693419.json
[2026-01-29T14:22:04.818+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693432.json
[2026-01-29T14:22:04.828+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693444.json
[2026-01-29T14:22:04.837+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693456.json
[2026-01-29T14:22:04.846+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693467.json
[2026-01-29T14:22:04.856+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693480.json
[2026-01-29T14:22:04.866+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693491.json
[2026-01-29T14:22:04.876+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693504.json
[2026-01-29T14:22:04.886+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693516.json
[2026-01-29T14:22:04.895+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693530.json
[2026-01-29T14:22:04.924+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693543.json
[2026-01-29T14:22:04.934+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693558.json
[2026-01-29T14:22:04.943+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693571.json
[2026-01-29T14:22:04.953+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693584.json
[2026-01-29T14:22:04.964+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693597.json
[2026-01-29T14:22:04.974+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693612.json
[2026-01-29T14:22:04.983+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693629.json
[2026-01-29T14:22:04.992+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692359.json
[2026-01-29T14:22:05.000+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692372.json
[2026-01-29T14:22:05.009+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692385.json
[2026-01-29T14:22:05.019+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692396.json
[2026-01-29T14:22:05.034+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692409.json
[2026-01-29T14:22:05.043+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692424.json
[2026-01-29T14:22:05.054+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692437.json
[2026-01-29T14:22:05.064+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692450.json
[2026-01-29T14:22:05.075+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692462.json
[2026-01-29T14:22:05.085+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692475.json
[2026-01-29T14:22:05.095+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692486.json
[2026-01-29T14:22:05.105+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692501.json
[2026-01-29T14:22:05.115+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692513.json
[2026-01-29T14:22:05.123+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692528.json
[2026-01-29T14:22:05.133+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692540.json
[2026-01-29T14:22:05.144+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692553.json
