[2026-01-29T14:40:01.930+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-29T14:40:01.968+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T14:39:00+00:00 [queued]>
[2026-01-29T14:40:01.979+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T14:39:00+00:00 [queued]>
[2026-01-29T14:40:01.980+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-29T14:40:01.996+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-01-29 14:39:00+00:00
[2026-01-29T14:40:02.009+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=74107) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-29T14:40:02.011+0000] {standard_task_runner.py:64} INFO - Started process 74125 to run task
[2026-01-29T14:40:02.009+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-01-29T14:39:00+00:00', '--job-id', '353', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpq74zt3m9']
[2026-01-29T14:40:02.015+0000] {standard_task_runner.py:91} INFO - Job 353: Subtask download_minio
[2026-01-29T14:40:02.116+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T14:39:00+00:00 [running]> on host 035a00487d49
[2026-01-29T14:40:02.254+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-01-29T14:39:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-29T14:39:00+00:00'
[2026-01-29T14:40:02.256+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-29T14:40:02.510+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-01-29T14:40:02.521+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-01-29T14:40:02.531+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-01-29T14:40:02.543+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-01-29T14:40:02.554+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-01-29T14:40:02.563+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-01-29T14:40:02.571+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-01-29T14:40:02.581+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-01-29T14:40:02.589+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-01-29T14:40:02.599+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-01-29T14:40:02.607+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-01-29T14:40:02.616+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-01-29T14:40:02.625+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-01-29T14:40:02.633+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-01-29T14:40:02.642+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-01-29T14:40:02.651+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-01-29T14:40:02.659+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-01-29T14:40:02.668+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-01-29T14:40:02.676+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-01-29T14:40:02.686+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-01-29T14:40:02.695+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
[2026-01-29T14:40:02.704+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692636.json
[2026-01-29T14:40:02.712+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692648.json
[2026-01-29T14:40:02.721+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692661.json
[2026-01-29T14:40:02.730+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692676.json
[2026-01-29T14:40:02.739+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692688.json
[2026-01-29T14:40:02.748+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692700.json
[2026-01-29T14:40:02.757+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692719.json
[2026-01-29T14:40:02.766+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692733.json
[2026-01-29T14:40:02.774+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692747.json
[2026-01-29T14:40:02.783+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692760.json
[2026-01-29T14:40:02.791+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692778.json
[2026-01-29T14:40:02.800+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692793.json
[2026-01-29T14:40:02.809+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692812.json
[2026-01-29T14:40:02.818+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692827.json
[2026-01-29T14:40:02.828+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692839.json
[2026-01-29T14:40:02.837+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692856.json
[2026-01-29T14:40:02.846+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692873.json
[2026-01-29T14:40:02.857+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692887.json
[2026-01-29T14:40:02.866+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692909.json
[2026-01-29T14:40:02.875+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692921.json
[2026-01-29T14:40:02.883+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692940.json
[2026-01-29T14:40:02.892+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692953.json
[2026-01-29T14:40:02.901+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692969.json
[2026-01-29T14:40:02.909+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692980.json
[2026-01-29T14:40:02.918+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692991.json
[2026-01-29T14:40:02.927+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693003.json
[2026-01-29T14:40:02.935+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693016.json
[2026-01-29T14:40:02.944+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693028.json
[2026-01-29T14:40:02.953+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693040.json
[2026-01-29T14:40:02.963+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693054.json
[2026-01-29T14:40:02.973+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693066.json
[2026-01-29T14:40:02.982+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693079.json
[2026-01-29T14:40:02.990+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693090.json
[2026-01-29T14:40:02.999+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693105.json
[2026-01-29T14:40:03.007+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693118.json
[2026-01-29T14:40:03.016+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693132.json
[2026-01-29T14:40:03.024+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693144.json
[2026-01-29T14:40:03.034+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693155.json
[2026-01-29T14:40:03.043+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693167.json
[2026-01-29T14:40:03.052+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693180.json
[2026-01-29T14:40:03.060+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693191.json
[2026-01-29T14:40:03.073+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693202.json
[2026-01-29T14:40:03.082+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693213.json
[2026-01-29T14:40:03.091+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693226.json
[2026-01-29T14:40:03.100+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693238.json
[2026-01-29T14:40:03.108+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693249.json
[2026-01-29T14:40:03.118+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693262.json
[2026-01-29T14:40:03.128+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693273.json
[2026-01-29T14:40:03.137+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693286.json
[2026-01-29T14:40:03.146+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693298.json
[2026-01-29T14:40:03.155+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693309.json
[2026-01-29T14:40:03.164+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693321.json
[2026-01-29T14:40:03.172+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693334.json
[2026-01-29T14:40:03.181+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693348.json
[2026-01-29T14:40:03.190+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693359.json
[2026-01-29T14:40:03.198+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693370.json
[2026-01-29T14:40:03.208+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693381.json
[2026-01-29T14:40:03.217+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693392.json
[2026-01-29T14:40:03.225+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693406.json
[2026-01-29T14:40:03.234+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693419.json
[2026-01-29T14:40:03.243+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693432.json
[2026-01-29T14:40:03.252+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693444.json
[2026-01-29T14:40:03.261+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693456.json
[2026-01-29T14:40:03.271+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693467.json
[2026-01-29T14:40:03.280+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693480.json
[2026-01-29T14:40:03.289+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693491.json
[2026-01-29T14:40:03.297+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693504.json
[2026-01-29T14:40:03.306+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693516.json
[2026-01-29T14:40:03.315+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693530.json
[2026-01-29T14:40:03.323+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693543.json
[2026-01-29T14:40:03.333+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693558.json
[2026-01-29T14:40:03.341+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693571.json
[2026-01-29T14:40:03.350+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693584.json
[2026-01-29T14:40:03.358+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693597.json
[2026-01-29T14:40:03.367+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693612.json
[2026-01-29T14:40:03.376+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693629.json
[2026-01-29T14:40:03.385+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692359.json
