[2026-01-29T14:45:01.461+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-29T14:45:01.498+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T14:44:00+00:00 [queued]>
[2026-01-29T14:45:01.507+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T14:44:00+00:00 [queued]>
[2026-01-29T14:45:01.508+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-29T14:45:01.524+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-01-29 14:44:00+00:00
[2026-01-29T14:45:01.535+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=81477) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-29T14:45:01.537+0000] {standard_task_runner.py:64} INFO - Started process 81488 to run task
[2026-01-29T14:45:01.535+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-01-29T14:44:00+00:00', '--job-id', '363', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp9akjh5xx']
[2026-01-29T14:45:01.538+0000] {standard_task_runner.py:91} INFO - Job 363: Subtask download_minio
[2026-01-29T14:45:01.633+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T14:44:00+00:00 [running]> on host 035a00487d49
[2026-01-29T14:45:01.762+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-01-29T14:44:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-29T14:44:00+00:00'
[2026-01-29T14:45:01.764+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-29T14:45:01.982+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-01-29T14:45:01.997+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-01-29T14:45:02.007+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-01-29T14:45:02.017+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-01-29T14:45:02.027+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-01-29T14:45:02.041+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-01-29T14:45:02.049+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-01-29T14:45:02.058+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-01-29T14:45:02.066+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-01-29T14:45:02.075+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-01-29T14:45:02.083+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-01-29T14:45:02.092+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-01-29T14:45:02.101+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-01-29T14:45:02.110+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-01-29T14:45:02.118+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-01-29T14:45:02.127+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-01-29T14:45:02.136+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-01-29T14:45:02.145+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-01-29T14:45:02.154+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-01-29T14:45:02.164+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-01-29T14:45:02.174+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
[2026-01-29T14:45:02.183+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692636.json
[2026-01-29T14:45:02.192+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692648.json
[2026-01-29T14:45:02.201+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692661.json
[2026-01-29T14:45:02.209+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692676.json
[2026-01-29T14:45:02.219+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692688.json
[2026-01-29T14:45:02.228+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692700.json
[2026-01-29T14:45:02.236+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692719.json
[2026-01-29T14:45:02.245+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692733.json
[2026-01-29T14:45:02.254+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692747.json
[2026-01-29T14:45:02.264+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692760.json
[2026-01-29T14:45:02.273+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692778.json
[2026-01-29T14:45:02.281+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692793.json
[2026-01-29T14:45:02.290+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692812.json
[2026-01-29T14:45:02.298+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692827.json
[2026-01-29T14:45:02.307+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692839.json
[2026-01-29T14:45:02.317+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692856.json
[2026-01-29T14:45:02.326+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692873.json
[2026-01-29T14:45:02.336+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692887.json
[2026-01-29T14:45:02.346+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692909.json
[2026-01-29T14:45:02.356+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692921.json
[2026-01-29T14:45:02.366+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692940.json
[2026-01-29T14:45:02.376+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692953.json
[2026-01-29T14:45:02.387+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692969.json
[2026-01-29T14:45:02.396+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692980.json
[2026-01-29T14:45:02.404+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692991.json
[2026-01-29T14:45:02.413+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693003.json
[2026-01-29T14:45:02.421+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693016.json
[2026-01-29T14:45:02.430+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693028.json
[2026-01-29T14:45:02.438+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693040.json
[2026-01-29T14:45:02.447+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693054.json
[2026-01-29T14:45:02.456+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693066.json
[2026-01-29T14:45:02.464+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693079.json
[2026-01-29T14:45:02.473+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693090.json
[2026-01-29T14:45:02.482+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693105.json
[2026-01-29T14:45:02.492+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693118.json
[2026-01-29T14:45:02.502+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693132.json
[2026-01-29T14:45:02.512+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693144.json
[2026-01-29T14:45:02.520+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693155.json
[2026-01-29T14:45:02.529+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693167.json
[2026-01-29T14:45:02.538+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693180.json
[2026-01-29T14:45:02.546+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693191.json
[2026-01-29T14:45:02.555+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693202.json
[2026-01-29T14:45:02.565+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693213.json
[2026-01-29T14:45:02.573+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693226.json
[2026-01-29T14:45:02.582+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693238.json
[2026-01-29T14:45:02.590+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693249.json
[2026-01-29T14:45:02.599+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693262.json
[2026-01-29T14:45:02.607+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693273.json
[2026-01-29T14:45:02.615+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693286.json
[2026-01-29T14:45:02.625+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693298.json
[2026-01-29T14:45:02.634+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693309.json
[2026-01-29T14:45:02.642+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693321.json
[2026-01-29T14:45:02.652+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693334.json
[2026-01-29T14:45:02.661+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693348.json
[2026-01-29T14:45:02.670+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693359.json
[2026-01-29T14:45:02.679+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693370.json
[2026-01-29T14:45:02.688+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693381.json
[2026-01-29T14:45:02.697+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693392.json
[2026-01-29T14:45:02.706+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693406.json
[2026-01-29T14:45:02.715+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693419.json
[2026-01-29T14:45:02.724+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693432.json
[2026-01-29T14:45:02.732+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693444.json
[2026-01-29T14:45:02.742+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693456.json
[2026-01-29T14:45:02.750+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693467.json
[2026-01-29T14:45:02.759+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693480.json
[2026-01-29T14:45:02.768+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693491.json
[2026-01-29T14:45:02.777+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693504.json
[2026-01-29T14:45:02.786+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693516.json
[2026-01-29T14:45:02.795+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693530.json
[2026-01-29T14:45:02.804+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693543.json
[2026-01-29T14:45:02.813+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693558.json
[2026-01-29T14:45:02.821+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693571.json
[2026-01-29T14:45:02.830+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693584.json
[2026-01-29T14:45:02.839+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693597.json
[2026-01-29T14:45:02.848+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693612.json
[2026-01-29T14:45:02.857+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693629.json
[2026-01-29T14:45:02.866+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692359.json
[2026-01-29T14:45:02.875+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692372.json
[2026-01-29T14:45:02.884+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692385.json
[2026-01-29T14:45:02.892+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692396.json
[2026-01-29T14:45:02.901+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692409.json
[2026-01-29T14:45:02.910+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692424.json
[2026-01-29T14:45:02.918+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692437.json
[2026-01-29T14:45:02.927+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692450.json
[2026-01-29T14:45:02.936+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692462.json
[2026-01-29T14:45:02.945+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692475.json
[2026-01-29T14:45:02.954+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692486.json
[2026-01-29T14:45:02.963+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692501.json
[2026-01-29T14:45:02.974+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692513.json
[2026-01-29T14:45:02.983+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692528.json
[2026-01-29T14:45:02.992+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692540.json
[2026-01-29T14:45:03.001+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692553.json
[2026-01-29T14:45:03.010+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692565.json
[2026-01-29T14:45:03.018+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692577.json
[2026-01-29T14:45:03.028+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692591.json
[2026-01-29T14:45:03.038+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692616.json
[2026-01-29T14:45:03.048+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692628.json
[2026-01-29T14:45:03.059+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692641.json
[2026-01-29T14:45:03.069+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692654.json
[2026-01-29T14:45:03.081+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692669.json
[2026-01-29T14:45:03.091+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692681.json
[2026-01-29T14:45:03.101+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692693.json
[2026-01-29T14:45:03.113+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692711.json
[2026-01-29T14:45:03.121+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692725.json
[2026-01-29T14:45:03.131+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692740.json
[2026-01-29T14:45:03.140+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692753.json
[2026-01-29T14:45:03.148+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692769.json
[2026-01-29T14:45:03.157+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692785.json
[2026-01-29T14:45:03.165+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692804.json
[2026-01-29T14:45:03.174+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692819.json
[2026-01-29T14:45:03.182+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692832.json
[2026-01-29T14:45:03.191+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692847.json
[2026-01-29T14:45:03.200+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692866.json
[2026-01-29T14:45:03.210+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692880.json
[2026-01-29T14:45:03.219+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692902.json
[2026-01-29T14:45:03.230+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692914.json
[2026-01-29T14:45:03.239+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692929.json
[2026-01-29T14:45:03.249+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692946.json
[2026-01-29T14:45:03.259+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692961.json
[2026-01-29T14:45:03.270+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692973.json
[2026-01-29T14:45:03.280+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692984.json
[2026-01-29T14:45:03.289+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692995.json
[2026-01-29T14:45:03.300+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693008.json
[2026-01-29T14:45:03.309+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693021.json
[2026-01-29T14:45:03.317+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693033.json
[2026-01-29T14:45:03.326+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693047.json
[2026-01-29T14:45:03.335+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693059.json
[2026-01-29T14:45:03.344+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693072.json
[2026-01-29T14:45:03.353+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693083.json
[2026-01-29T14:45:03.362+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693095.json
[2026-01-29T14:45:03.370+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693110.json
[2026-01-29T14:45:03.379+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693125.json
[2026-01-29T14:45:03.388+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693136.json
[2026-01-29T14:45:03.397+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693148.json
[2026-01-29T14:45:03.406+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693160.json
[2026-01-29T14:45:03.416+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693173.json
[2026-01-29T14:45:03.425+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693184.json
[2026-01-29T14:45:03.435+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693195.json
[2026-01-29T14:45:03.445+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693206.json
[2026-01-29T14:45:03.454+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693219.json
[2026-01-29T14:45:03.465+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693230.json
