[2026-01-29T15:06:02.722+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-29T15:06:02.764+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T15:05:00+00:00 [queued]>
[2026-01-29T15:06:02.773+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T15:05:00+00:00 [queued]>
[2026-01-29T15:06:02.774+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-29T15:06:02.790+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-01-29 15:05:00+00:00
[2026-01-29T15:06:02.801+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=8920) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-29T15:06:02.803+0000] {standard_task_runner.py:64} INFO - Started process 8938 to run task
[2026-01-29T15:06:02.801+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-01-29T15:05:00+00:00', '--job-id', '401', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpquvv_sx7']
[2026-01-29T15:06:02.804+0000] {standard_task_runner.py:91} INFO - Job 401: Subtask download_minio
[2026-01-29T15:06:02.889+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T15:05:00+00:00 [running]> on host 035a00487d49
[2026-01-29T15:06:03.021+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-01-29T15:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-29T15:05:00+00:00'
[2026-01-29T15:06:03.023+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-29T15:06:03.581+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-01-29T15:06:03.591+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-01-29T15:06:03.600+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-01-29T15:06:03.609+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-01-29T15:06:03.619+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-01-29T15:06:03.632+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-01-29T15:06:03.644+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-01-29T15:06:03.654+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-01-29T15:06:03.669+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-01-29T15:06:03.682+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-01-29T15:06:03.694+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-01-29T15:06:03.703+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-01-29T15:06:03.712+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-01-29T15:06:03.722+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-01-29T15:06:03.733+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-01-29T15:06:03.745+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-01-29T15:06:03.755+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-01-29T15:06:03.765+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-01-29T15:06:03.778+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-01-29T15:06:03.788+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-01-29T15:06:03.798+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
