[2026-02-02T08:16:47.373+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-02T08:16:47.421+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:10:00+00:00 [queued]>
[2026-02-02T08:16:47.430+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:10:00+00:00 [queued]>
[2026-02-02T08:16:47.431+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2026-02-02T08:16:47.449+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-02 08:10:00+00:00
[2026-02-02T08:16:47.473+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=2290) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-02T08:16:47.470+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-02T08:10:00+00:00', '--job-id', '562', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp3apw7k5h']
[2026-02-02T08:16:47.476+0000] {standard_task_runner.py:64} INFO - Started process 2299 to run task
[2026-02-02T08:16:47.476+0000] {standard_task_runner.py:91} INFO - Job 562: Subtask download_minio
[2026-02-02T08:16:47.602+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:10:00+00:00 [running]> on host 035a00487d49
[2026-02-02T08:16:47.915+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-02T08:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-02T08:10:00+00:00'
[2026-02-02T08:16:47.918+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-02T08:16:48.291+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-02-02T08:16:48.303+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-02-02T08:16:48.352+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-02-02T08:16:48.363+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-02-02T08:16:48.373+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-02-02T08:16:48.383+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-02-02T08:16:48.395+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-02-02T08:16:48.407+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-02-02T08:16:48.417+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-02-02T08:16:48.426+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-02-02T08:16:48.435+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-02-02T08:16:48.445+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-02-02T08:16:48.454+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-02-02T08:16:48.463+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-02-02T08:16:48.477+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-02-02T08:16:48.491+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-02-02T08:16:48.503+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-02-02T08:16:48.515+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-02-02T08:16:48.525+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-02-02T08:16:48.536+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-02-02T08:16:48.549+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
[2026-02-02T08:16:48.560+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692636.json
[2026-02-02T08:16:48.649+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692648.json
[2026-02-02T08:16:48.661+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692661.json
[2026-02-02T08:16:48.672+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692676.json
[2026-02-02T08:16:48.683+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692688.json
[2026-02-02T08:16:48.697+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692700.json
[2026-02-02T08:16:48.712+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692719.json
[2026-02-02T08:16:48.726+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692733.json
[2026-02-02T08:16:48.740+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692747.json
[2026-02-02T08:16:48.754+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692760.json
[2026-02-02T08:16:48.766+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692778.json
[2026-02-02T08:16:48.779+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692793.json
[2026-02-02T08:16:48.794+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692812.json
[2026-02-02T08:16:48.808+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692827.json
[2026-02-02T08:16:48.819+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692839.json
[2026-02-02T08:16:48.832+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692856.json
[2026-02-02T08:16:48.844+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692873.json
[2026-02-02T08:16:48.855+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692887.json
[2026-02-02T08:16:48.868+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692909.json
[2026-02-02T08:16:48.878+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692921.json
[2026-02-02T08:16:48.890+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692940.json
[2026-02-02T08:16:48.901+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692953.json
[2026-02-02T08:16:48.913+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692969.json
[2026-02-02T08:16:48.924+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692980.json
[2026-02-02T08:16:48.932+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692991.json
[2026-02-02T08:16:48.941+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693003.json
[2026-02-02T08:16:48.950+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693016.json
[2026-02-02T08:16:48.958+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693028.json
[2026-02-02T08:16:48.967+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693040.json
[2026-02-02T08:16:48.976+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693054.json
[2026-02-02T08:16:48.985+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693066.json
[2026-02-02T08:16:48.994+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693079.json
[2026-02-02T08:16:49.004+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693090.json
[2026-02-02T08:16:49.013+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693105.json
[2026-02-02T08:16:49.021+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693118.json
[2026-02-02T08:16:49.030+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693132.json
[2026-02-02T08:16:49.039+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693144.json
[2026-02-02T08:16:49.048+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693155.json
[2026-02-02T08:16:49.058+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693167.json
[2026-02-02T08:16:49.069+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693180.json
[2026-02-02T08:16:49.079+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693191.json
[2026-02-02T08:16:49.091+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693202.json
[2026-02-02T08:16:49.100+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693213.json
[2026-02-02T08:16:49.108+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693226.json
[2026-02-02T08:16:49.117+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693238.json
[2026-02-02T08:16:49.126+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693249.json
[2026-02-02T08:16:49.135+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693262.json
[2026-02-02T08:16:49.144+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693273.json
[2026-02-02T08:16:49.153+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693286.json
