[2026-02-02T08:17:45.426+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-02T08:17:45.484+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:11:00+00:00 [queued]>
[2026-02-02T08:17:45.494+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:11:00+00:00 [queued]>
[2026-02-02T08:17:45.495+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2026-02-02T08:17:45.511+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-02 08:11:00+00:00
[2026-02-02T08:17:45.526+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-02T08:11:00+00:00', '--job-id', '568', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpowvctvec']
[2026-02-02T08:17:45.537+0000] {standard_task_runner.py:91} INFO - Job 568: Subtask download_minio
[2026-02-02T08:17:45.537+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=5605) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-02T08:17:45.538+0000] {standard_task_runner.py:64} INFO - Started process 5627 to run task
[2026-02-02T08:17:45.989+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:11:00+00:00 [running]> on host 035a00487d49
[2026-02-02T08:17:46.186+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-02T08:11:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-02T08:11:00+00:00'
[2026-02-02T08:17:46.189+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-02T08:17:46.701+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-02-02T08:17:46.710+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-02-02T08:17:46.722+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-02-02T08:17:46.734+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-02-02T08:17:46.742+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-02-02T08:17:46.754+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-02-02T08:17:46.764+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-02-02T08:17:46.774+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-02-02T08:17:46.785+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-02-02T08:17:46.795+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-02-02T08:17:46.806+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-02-02T08:17:46.818+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-02-02T08:17:46.828+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-02-02T08:17:46.837+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-02-02T08:17:46.847+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-02-02T08:17:46.856+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-02-02T08:17:46.868+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-02-02T08:17:46.876+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-02-02T08:17:46.887+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-02-02T08:17:46.897+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-02-02T08:17:46.907+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
[2026-02-02T08:17:46.918+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692636.json
[2026-02-02T08:17:46.927+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692648.json
[2026-02-02T08:17:46.938+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692661.json
[2026-02-02T08:17:46.948+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692676.json
[2026-02-02T08:17:46.957+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692688.json
[2026-02-02T08:17:46.970+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692700.json
[2026-02-02T08:17:46.982+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692719.json
[2026-02-02T08:17:46.994+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692733.json
[2026-02-02T08:17:47.005+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692747.json
[2026-02-02T08:17:47.015+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692760.json
[2026-02-02T08:17:47.023+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692778.json
[2026-02-02T08:17:47.034+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692793.json
[2026-02-02T08:17:47.042+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692812.json
[2026-02-02T08:17:47.051+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692827.json
[2026-02-02T08:17:47.061+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692839.json
[2026-02-02T08:17:47.071+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692856.json
[2026-02-02T08:17:47.079+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692873.json
[2026-02-02T08:17:47.089+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692887.json
[2026-02-02T08:17:47.098+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692909.json
[2026-02-02T08:17:47.108+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692921.json
[2026-02-02T08:17:47.120+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692940.json
[2026-02-02T08:17:47.129+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692953.json
[2026-02-02T08:17:47.143+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692969.json
[2026-02-02T08:17:47.155+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692980.json
[2026-02-02T08:17:47.167+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692991.json
[2026-02-02T08:17:47.178+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693003.json
[2026-02-02T08:17:47.191+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693016.json
[2026-02-02T08:17:47.203+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693028.json
[2026-02-02T08:17:47.215+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693040.json
[2026-02-02T08:17:47.225+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693054.json
[2026-02-02T08:17:47.236+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693066.json
[2026-02-02T08:17:47.246+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693079.json
[2026-02-02T08:17:47.256+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693090.json
[2026-02-02T08:17:47.267+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693105.json
[2026-02-02T08:17:47.279+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693118.json
[2026-02-02T08:17:47.287+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693132.json
[2026-02-02T08:17:47.297+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693144.json
[2026-02-02T08:17:47.306+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693155.json
[2026-02-02T08:17:47.321+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693167.json
[2026-02-02T08:17:47.339+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693180.json
[2026-02-02T08:17:47.349+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693191.json
[2026-02-02T08:17:47.358+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693202.json
[2026-02-02T08:17:47.366+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693213.json
[2026-02-02T08:17:47.377+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693226.json
[2026-02-02T08:17:47.387+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693238.json
[2026-02-02T08:17:47.397+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693249.json
[2026-02-02T08:17:47.407+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693262.json
[2026-02-02T08:17:47.418+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693273.json
[2026-02-02T08:17:47.427+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693286.json
[2026-02-02T08:17:47.438+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693298.json
[2026-02-02T08:17:47.449+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693309.json
[2026-02-02T08:17:47.458+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693321.json
[2026-02-02T08:17:47.470+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693334.json
[2026-02-02T08:17:47.480+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693348.json
[2026-02-02T08:17:47.490+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693359.json
[2026-02-02T08:17:47.503+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693370.json
[2026-02-02T08:17:47.514+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693381.json
[2026-02-02T08:17:47.525+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693392.json
[2026-02-02T08:17:47.538+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693406.json
[2026-02-02T08:17:47.551+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693419.json
[2026-02-02T08:17:47.560+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693432.json
[2026-02-02T08:17:47.571+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693444.json
[2026-02-02T08:17:47.582+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693456.json
[2026-02-02T08:17:47.592+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693467.json
[2026-02-02T08:17:47.602+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693480.json
[2026-02-02T08:17:47.611+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693491.json
[2026-02-02T08:17:47.620+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693504.json
[2026-02-02T08:17:47.629+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693516.json
[2026-02-02T08:17:47.638+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693530.json
[2026-02-02T08:17:47.648+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693543.json
[2026-02-02T08:17:47.657+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693558.json
[2026-02-02T08:17:47.668+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693571.json
[2026-02-02T08:17:47.676+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693584.json
[2026-02-02T08:17:47.687+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693597.json
[2026-02-02T08:17:47.697+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693612.json
[2026-02-02T08:17:47.706+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693629.json
[2026-02-02T08:17:47.718+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692359.json
[2026-02-02T08:17:47.727+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692372.json
[2026-02-02T08:17:47.738+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692385.json
[2026-02-02T08:17:47.751+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692396.json
[2026-02-02T08:17:47.760+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692409.json
[2026-02-02T08:17:47.772+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692424.json
[2026-02-02T08:17:47.784+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692437.json
