[2026-02-02T08:18:55.920+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-02T08:18:56.088+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:12:00+00:00 [queued]>
[2026-02-02T08:18:56.136+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:12:00+00:00 [queued]>
[2026-02-02T08:18:56.139+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2026-02-02T08:18:56.170+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-02 08:12:00+00:00
[2026-02-02T08:18:56.203+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-02T08:12:00+00:00', '--job-id', '572', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpuzka1ti9']
[2026-02-02T08:18:56.211+0000] {standard_task_runner.py:91} INFO - Job 572: Subtask download_minio
[2026-02-02T08:18:56.216+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=8297) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-02T08:18:56.220+0000] {standard_task_runner.py:64} INFO - Started process 8435 to run task
[2026-02-02T08:18:56.418+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:12:00+00:00 [running]> on host 035a00487d49
[2026-02-02T08:18:56.786+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-02T08:12:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-02T08:12:00+00:00'
[2026-02-02T08:18:56.791+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-02T08:18:59.087+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-02-02T08:18:59.107+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-02-02T08:18:59.128+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-02-02T08:18:59.150+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-02-02T08:18:59.178+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-02-02T08:18:59.205+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-02-02T08:18:59.227+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-02-02T08:18:59.251+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-02-02T08:18:59.291+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-02-02T08:18:59.318+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-02-02T08:18:59.342+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-02-02T08:18:59.361+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-02-02T08:18:59.383+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-02-02T08:18:59.410+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-02-02T08:18:59.433+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-02-02T08:18:59.456+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-02-02T08:18:59.480+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-02-02T08:18:59.503+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-02-02T08:18:59.526+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-02-02T08:18:59.557+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-02-02T08:18:59.576+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
[2026-02-02T08:18:59.594+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692636.json
[2026-02-02T08:18:59.617+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692648.json
[2026-02-02T08:18:59.636+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692661.json
[2026-02-02T08:18:59.655+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692676.json
[2026-02-02T08:18:59.681+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692688.json
[2026-02-02T08:18:59.704+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692700.json
[2026-02-02T08:18:59.724+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692719.json
[2026-02-02T08:18:59.745+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692733.json
[2026-02-02T08:18:59.768+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692747.json
[2026-02-02T08:18:59.797+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692760.json
[2026-02-02T08:18:59.826+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692778.json
[2026-02-02T08:18:59.852+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692793.json
[2026-02-02T08:18:59.873+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692812.json
[2026-02-02T08:18:59.895+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692827.json
[2026-02-02T08:18:59.918+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692839.json
[2026-02-02T08:18:59.938+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692856.json
[2026-02-02T08:18:59.959+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692873.json
[2026-02-02T08:18:59.979+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692887.json
[2026-02-02T08:18:59.997+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692909.json
[2026-02-02T08:19:00.019+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692921.json
[2026-02-02T08:19:00.038+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692940.json
[2026-02-02T08:19:00.058+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692953.json
[2026-02-02T08:19:00.087+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692969.json
[2026-02-02T08:19:00.106+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692980.json
[2026-02-02T08:19:00.125+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692991.json
[2026-02-02T08:19:00.143+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693003.json
[2026-02-02T08:19:00.161+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693016.json
[2026-02-02T08:19:00.180+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693028.json
[2026-02-02T08:19:00.205+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693040.json
[2026-02-02T08:19:00.224+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693054.json
[2026-02-02T08:19:00.244+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693066.json
[2026-02-02T08:19:00.262+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693079.json
[2026-02-02T08:19:00.281+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693090.json
[2026-02-02T08:19:00.302+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693105.json
[2026-02-02T08:19:00.324+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693118.json
[2026-02-02T08:19:00.351+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693132.json
[2026-02-02T08:19:00.382+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693144.json
[2026-02-02T08:19:00.407+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693155.json
[2026-02-02T08:19:00.430+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693167.json
[2026-02-02T08:19:00.457+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693180.json
[2026-02-02T08:19:00.486+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693191.json
[2026-02-02T08:19:00.507+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693202.json
[2026-02-02T08:19:00.525+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693213.json
[2026-02-02T08:19:00.543+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693226.json
[2026-02-02T08:19:00.565+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693238.json
[2026-02-02T08:19:00.588+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693249.json
[2026-02-02T08:19:00.611+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693262.json
[2026-02-02T08:19:00.643+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693273.json
[2026-02-02T08:19:00.668+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693286.json
[2026-02-02T08:19:00.691+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693298.json
[2026-02-02T08:19:00.714+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693309.json
[2026-02-02T08:19:00.739+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693321.json
[2026-02-02T08:19:00.763+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693334.json
[2026-02-02T08:19:00.801+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693348.json
[2026-02-02T08:19:00.874+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693359.json
[2026-02-02T08:19:00.919+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693370.json
[2026-02-02T08:19:00.968+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693381.json
