[2026-02-02T08:17:05.712+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-02T08:17:05.973+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:16:00+00:00 [queued]>
[2026-02-02T08:17:06.012+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:16:00+00:00 [queued]>
[2026-02-02T08:17:06.019+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-02T08:17:06.079+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-02 08:16:00+00:00
[2026-02-02T08:17:06.116+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-02T08:16:00+00:00', '--job-id', '564', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpw3jp3kz6']
[2026-02-02T08:17:06.131+0000] {standard_task_runner.py:91} INFO - Job 564: Subtask download_minio
[2026-02-02T08:17:06.141+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=3319) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-02T08:17:06.145+0000] {standard_task_runner.py:64} INFO - Started process 3498 to run task
[2026-02-02T08:17:07.073+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:16:00+00:00 [running]> on host 035a00487d49
[2026-02-02T08:17:07.891+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-02T08:16:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-02T08:16:00+00:00'
[2026-02-02T08:17:07.894+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-02T08:17:09.314+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-02-02T08:17:09.344+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-02-02T08:17:09.406+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-02-02T08:17:09.438+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-02-02T08:17:09.463+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-02-02T08:17:09.483+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-02-02T08:17:09.502+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-02-02T08:17:09.524+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-02-02T08:17:09.541+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-02-02T08:17:09.561+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-02-02T08:17:09.582+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-02-02T08:17:09.604+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-02-02T08:17:09.623+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-02-02T08:17:09.644+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-02-02T08:17:09.668+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-02-02T08:17:09.688+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-02-02T08:17:09.715+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-02-02T08:17:09.740+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-02-02T08:17:09.766+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-02-02T08:17:09.790+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-02-02T08:17:09.814+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
