[2026-02-02T08:23:06.786+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-02T08:23:06.831+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:22:00+00:00 [queued]>
[2026-02-02T08:23:06.843+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:22:00+00:00 [queued]>
[2026-02-02T08:23:06.844+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-02T08:23:06.861+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-02 08:22:00+00:00
[2026-02-02T08:23:06.890+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=14387) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-02T08:23:06.881+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-02T08:22:00+00:00', '--job-id', '579', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpfne4qbnc']
[2026-02-02T08:23:06.896+0000] {standard_task_runner.py:64} INFO - Started process 14474 to run task
[2026-02-02T08:23:06.896+0000] {standard_task_runner.py:91} INFO - Job 579: Subtask download_minio
[2026-02-02T08:23:07.087+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:22:00+00:00 [running]> on host 035a00487d49
[2026-02-02T08:23:07.581+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-02T08:22:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-02T08:22:00+00:00'
[2026-02-02T08:23:07.588+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-02T08:23:09.826+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-02-02T08:23:09.848+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-02-02T08:23:09.878+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-02-02T08:23:09.901+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-02-02T08:23:09.925+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-02-02T08:23:09.948+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-02-02T08:23:09.974+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-02-02T08:23:09.997+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-02-02T08:23:10.018+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-02-02T08:23:10.038+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-02-02T08:23:10.056+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-02-02T08:23:10.078+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-02-02T08:23:10.097+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-02-02T08:23:10.119+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-02-02T08:23:10.142+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-02-02T08:23:10.162+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-02-02T08:23:10.181+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-02-02T08:23:10.204+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-02-02T08:23:10.235+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-02-02T08:23:10.257+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-02-02T08:23:10.278+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
[2026-02-02T08:23:10.301+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692636.json
[2026-02-02T08:23:10.324+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692648.json
[2026-02-02T08:23:10.346+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692661.json
[2026-02-02T08:23:10.367+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692676.json
[2026-02-02T08:23:10.388+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692688.json
[2026-02-02T08:23:10.414+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692700.json
[2026-02-02T08:23:10.433+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692719.json
[2026-02-02T08:23:10.455+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692733.json
[2026-02-02T08:23:10.482+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692747.json
[2026-02-02T08:23:10.507+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692760.json
[2026-02-02T08:23:10.525+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692778.json
[2026-02-02T08:23:10.547+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692793.json
[2026-02-02T08:23:10.564+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692812.json
[2026-02-02T08:23:10.584+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692827.json
[2026-02-02T08:23:10.606+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692839.json
[2026-02-02T08:23:10.624+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692856.json
[2026-02-02T08:23:10.648+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692873.json
[2026-02-02T08:23:10.670+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692887.json
[2026-02-02T08:23:10.689+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692909.json
[2026-02-02T08:23:10.713+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692921.json
[2026-02-02T08:23:10.734+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692940.json
[2026-02-02T08:23:10.763+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692953.json
[2026-02-02T08:23:10.792+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692969.json
[2026-02-02T08:23:10.813+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692980.json
[2026-02-02T08:23:10.834+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692991.json
[2026-02-02T08:23:10.856+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693003.json
[2026-02-02T08:23:10.880+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693016.json
[2026-02-02T08:23:10.901+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693028.json
[2026-02-02T08:23:10.919+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693040.json
[2026-02-02T08:23:10.938+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693054.json
[2026-02-02T08:23:10.959+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693066.json
[2026-02-02T08:23:10.981+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693079.json
[2026-02-02T08:23:11.002+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693090.json
[2026-02-02T08:23:11.031+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693105.json
[2026-02-02T08:23:11.051+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693118.json
[2026-02-02T08:23:11.073+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693132.json
[2026-02-02T08:23:11.095+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693144.json
[2026-02-02T08:23:11.114+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693155.json
[2026-02-02T08:23:11.135+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693167.json
[2026-02-02T08:23:11.156+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693180.json
[2026-02-02T08:23:11.182+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693191.json
[2026-02-02T08:23:11.209+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693202.json
[2026-02-02T08:23:11.232+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693213.json
[2026-02-02T08:23:11.252+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693226.json
[2026-02-02T08:23:11.272+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693238.json
[2026-02-02T08:23:11.293+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693249.json
[2026-02-02T08:23:11.319+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693262.json
[2026-02-02T08:23:11.348+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693273.json
[2026-02-02T08:23:11.383+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693286.json
[2026-02-02T08:23:11.419+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693298.json
[2026-02-02T08:23:11.473+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693309.json
[2026-02-02T08:23:11.517+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693321.json
[2026-02-02T08:23:11.569+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693334.json
[2026-02-02T08:23:11.621+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693348.json
[2026-02-02T08:23:11.666+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693359.json
[2026-02-02T08:23:11.703+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693370.json
[2026-02-02T08:23:11.758+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693381.json
[2026-02-02T08:23:11.827+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693392.json
[2026-02-02T08:23:11.866+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693406.json
[2026-02-02T08:23:11.913+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693419.json
[2026-02-02T08:23:11.943+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693432.json
[2026-02-02T08:23:11.976+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693444.json
[2026-02-02T08:23:12.003+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693456.json
[2026-02-02T08:23:12.042+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693467.json
[2026-02-02T08:23:12.099+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693480.json
[2026-02-02T08:23:12.123+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693491.json
[2026-02-02T08:23:12.142+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693504.json
[2026-02-02T08:23:12.159+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693516.json
[2026-02-02T08:23:12.180+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693530.json
[2026-02-02T08:23:12.199+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693543.json
[2026-02-02T08:23:12.223+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693558.json
[2026-02-02T08:23:12.252+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693571.json
[2026-02-02T08:23:12.269+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693584.json
[2026-02-02T08:23:12.287+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693597.json
[2026-02-02T08:23:12.305+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693612.json
[2026-02-02T08:23:12.325+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769693629.json
[2026-02-02T08:23:12.346+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692359.json
[2026-02-02T08:23:12.366+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692372.json
[2026-02-02T08:23:12.384+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692385.json
[2026-02-02T08:23:12.403+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692396.json
[2026-02-02T08:23:12.420+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692409.json
[2026-02-02T08:23:12.438+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692424.json
[2026-02-02T08:23:12.461+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692437.json
[2026-02-02T08:23:12.481+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692450.json
[2026-02-02T08:23:12.500+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692462.json
[2026-02-02T08:23:12.518+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692475.json
[2026-02-02T08:23:12.539+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692486.json
[2026-02-02T08:23:12.560+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692501.json
[2026-02-02T08:23:12.586+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692513.json
[2026-02-02T08:23:12.615+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692528.json
[2026-02-02T08:23:12.634+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692540.json
[2026-02-02T08:23:12.654+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692553.json
[2026-02-02T08:23:12.680+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692565.json
[2026-02-02T08:23:12.700+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692577.json
[2026-02-02T08:23:12.730+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692591.json
[2026-02-02T08:23:12.750+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692616.json
[2026-02-02T08:23:12.775+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692628.json
[2026-02-02T08:23:12.810+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692641.json
[2026-02-02T08:23:12.851+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692654.json
[2026-02-02T08:23:12.874+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692669.json
[2026-02-02T08:23:12.896+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692681.json
[2026-02-02T08:23:12.917+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692693.json
[2026-02-02T08:23:12.938+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692711.json
[2026-02-02T08:23:12.961+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692725.json
[2026-02-02T08:23:12.986+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692740.json
[2026-02-02T08:23:13.014+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692753.json
[2026-02-02T08:23:13.043+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692769.json
[2026-02-02T08:23:13.077+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692785.json
[2026-02-02T08:23:13.102+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692804.json
[2026-02-02T08:23:13.130+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692819.json
[2026-02-02T08:23:13.156+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692832.json
[2026-02-02T08:23:13.179+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692847.json
[2026-02-02T08:23:13.198+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692866.json
[2026-02-02T08:23:13.221+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692880.json
[2026-02-02T08:23:13.241+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692902.json
[2026-02-02T08:23:13.261+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692914.json
[2026-02-02T08:23:13.290+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692929.json
[2026-02-02T08:23:13.316+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692946.json
[2026-02-02T08:23:13.336+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692961.json
[2026-02-02T08:23:13.354+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692973.json
[2026-02-02T08:23:13.371+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692984.json
[2026-02-02T08:23:13.390+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769692995.json
[2026-02-02T08:23:13.413+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693008.json
[2026-02-02T08:23:13.434+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693021.json
[2026-02-02T08:23:13.462+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693033.json
[2026-02-02T08:23:13.482+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693047.json
[2026-02-02T08:23:13.508+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693059.json
[2026-02-02T08:23:13.531+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693072.json
[2026-02-02T08:23:13.551+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693083.json
[2026-02-02T08:23:13.574+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693095.json
[2026-02-02T08:23:13.593+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693110.json
[2026-02-02T08:23:13.614+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693125.json
[2026-02-02T08:23:13.633+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1769693136.json
