[2026-02-02T08:26:04.941+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-02T08:26:05.055+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:25:00+00:00 [queued]>
[2026-02-02T08:26:05.075+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:25:00+00:00 [queued]>
[2026-02-02T08:26:05.077+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-02T08:26:05.116+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-02 08:25:00+00:00
[2026-02-02T08:26:05.142+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=19383) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-02T08:26:05.147+0000] {standard_task_runner.py:64} INFO - Started process 19433 to run task
[2026-02-02T08:26:05.147+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-02T08:25:00+00:00', '--job-id', '585', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp795yko2i']
[2026-02-02T08:26:05.157+0000] {standard_task_runner.py:91} INFO - Job 585: Subtask download_minio
[2026-02-02T08:26:05.391+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:25:00+00:00 [running]> on host 035a00487d49
[2026-02-02T08:26:05.796+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-02T08:25:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-02T08:25:00+00:00'
[2026-02-02T08:26:05.801+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-02T08:26:06.360+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-02-02T08:26:06.379+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-02-02T08:26:06.400+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-02-02T08:26:06.424+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-02-02T08:26:06.444+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-02-02T08:26:06.462+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-02-02T08:26:06.480+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-02-02T08:26:06.501+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-02-02T08:26:06.523+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-02-02T08:26:06.547+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-02-02T08:26:06.567+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-02-02T08:26:06.589+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-02-02T08:26:06.609+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-02-02T08:26:06.632+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-02-02T08:26:06.657+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-02-02T08:26:06.681+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-02-02T08:26:06.704+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-02-02T08:26:06.727+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-02-02T08:26:06.749+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-02-02T08:26:06.770+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-02-02T08:26:06.798+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
