[2026-02-02T08:27:05.497+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-02T08:27:05.589+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:26:00+00:00 [queued]>
[2026-02-02T08:27:05.618+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:26:00+00:00 [queued]>
[2026-02-02T08:27:05.620+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-02T08:27:05.656+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-02 08:26:00+00:00
[2026-02-02T08:27:05.680+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=20941) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-02T08:27:05.684+0000] {standard_task_runner.py:64} INFO - Started process 20973 to run task
[2026-02-02T08:27:05.679+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-02T08:26:00+00:00', '--job-id', '587', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmprgboeq1z']
[2026-02-02T08:27:05.688+0000] {standard_task_runner.py:91} INFO - Job 587: Subtask download_minio
[2026-02-02T08:27:05.914+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-02T08:26:00+00:00 [running]> on host 035a00487d49
[2026-02-02T08:27:06.197+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-02T08:26:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-02T08:26:00+00:00'
[2026-02-02T08:27:06.202+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-02T08:27:06.800+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-02-02T08:27:06.819+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-02-02T08:27:06.840+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-02-02T08:27:06.860+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-02-02T08:27:06.878+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-02-02T08:27:06.899+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-02-02T08:27:06.916+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-02-02T08:27:06.936+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-02-02T08:27:06.959+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-02-02T08:27:06.976+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-02-02T08:27:07.000+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-02-02T08:27:07.030+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-02-02T08:27:07.053+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-02-02T08:27:07.074+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-02-02T08:27:07.095+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-02-02T08:27:07.117+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-02-02T08:27:07.136+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-02-02T08:27:07.153+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-02-02T08:27:07.171+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-02-02T08:27:07.189+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-02-02T08:27:07.210+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
