[2026-02-04T07:42:02.808+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-04T07:42:02.846+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T07:41:00+00:00 [queued]>
[2026-02-04T07:42:02.855+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T07:41:00+00:00 [queued]>
[2026-02-04T07:42:02.856+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-04T07:42:02.870+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-04 07:41:00+00:00
[2026-02-04T07:42:02.883+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=6034) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-04T07:42:02.885+0000] {standard_task_runner.py:64} INFO - Started process 6045 to run task
[2026-02-04T07:42:02.883+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-04T07:41:00+00:00', '--job-id', '677', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpgtffcbri']
[2026-02-04T07:42:02.886+0000] {standard_task_runner.py:91} INFO - Job 677: Subtask download_minio
[2026-02-04T07:42:02.973+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T07:41:00+00:00 [running]> on host 1a57f62d265e
[2026-02-04T07:42:03.101+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-04T07:41:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-04T07:41:00+00:00'
[2026-02-04T07:42:03.103+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-04T07:42:03.311+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190211.json
[2026-02-04T07:42:03.320+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190221.json
[2026-02-04T07:42:03.329+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190233.json
[2026-02-04T07:42:03.338+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190244.json
[2026-02-04T07:42:03.347+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190256.json
[2026-02-04T07:42:03.358+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190268.json
[2026-02-04T07:42:03.369+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190278.json
[2026-02-04T07:42:03.379+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190289.json
[2026-02-04T07:42:03.387+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190300.json
[2026-02-04T07:42:03.396+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190310.json
[2026-02-04T07:42:03.405+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190323.json
[2026-02-04T07:42:03.413+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190333.json
[2026-02-04T07:42:03.421+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190344.json
[2026-02-04T07:42:03.430+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190356.json
[2026-02-04T07:42:03.439+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190368.json
[2026-02-04T07:42:03.448+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190378.json
[2026-02-04T07:42:03.456+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190388.json
[2026-02-04T07:42:03.465+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190399.json
[2026-02-04T07:42:03.474+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190410.json
[2026-02-04T07:42:03.482+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190421.json
[2026-02-04T07:42:03.491+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190432.json
[2026-02-04T07:42:03.500+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190442.json
[2026-02-04T07:42:03.508+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190453.json
[2026-02-04T07:42:03.518+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190463.json
[2026-02-04T07:42:03.526+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190474.json
[2026-02-04T07:42:03.535+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190485.json
[2026-02-04T07:42:03.543+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190495.json
[2026-02-04T07:42:03.552+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190506.json
[2026-02-04T07:42:03.561+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190516.json
[2026-02-04T07:42:03.570+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190527.json
[2026-02-04T07:42:03.579+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190537.json
[2026-02-04T07:42:03.587+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190548.json
[2026-02-04T07:42:03.596+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190559.json
[2026-02-04T07:42:03.604+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190569.json
[2026-02-04T07:42:03.614+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190580.json
[2026-02-04T07:42:03.626+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190590.json
[2026-02-04T07:42:03.636+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190600.json
[2026-02-04T07:42:03.646+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190611.json
