[2026-02-04T08:18:05.300+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-04T08:18:05.421+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T08:17:00+00:00 [queued]>
[2026-02-04T08:18:05.453+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T08:17:00+00:00 [queued]>
[2026-02-04T08:18:05.455+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-04T08:18:05.507+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-04 08:17:00+00:00
[2026-02-04T08:18:05.547+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=59479) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-04T08:18:05.553+0000] {standard_task_runner.py:64} INFO - Started process 59514 to run task
[2026-02-04T08:18:05.548+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-04T08:17:00+00:00', '--job-id', '749', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp82kauv7v']
[2026-02-04T08:18:05.563+0000] {standard_task_runner.py:91} INFO - Job 749: Subtask download_minio
[2026-02-04T08:18:05.811+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T08:17:00+00:00 [running]> on host 1a57f62d265e
[2026-02-04T08:18:06.179+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-04T08:17:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-04T08:17:00+00:00'
[2026-02-04T08:18:06.182+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-04T08:18:06.774+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190211.json
[2026-02-04T08:18:06.794+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190221.json
[2026-02-04T08:18:06.813+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190233.json
[2026-02-04T08:18:06.833+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190244.json
[2026-02-04T08:18:06.852+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190256.json
[2026-02-04T08:18:06.873+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190268.json
[2026-02-04T08:18:06.892+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190278.json
[2026-02-04T08:18:06.913+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190289.json
[2026-02-04T08:18:06.934+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190300.json
[2026-02-04T08:18:06.957+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190310.json
[2026-02-04T08:18:06.978+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190323.json
[2026-02-04T08:18:07.003+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190333.json
[2026-02-04T08:18:07.027+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190344.json
[2026-02-04T08:18:07.051+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190356.json
[2026-02-04T08:18:07.076+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190368.json
[2026-02-04T08:18:07.102+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190378.json
[2026-02-04T08:18:07.127+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190388.json
[2026-02-04T08:18:07.165+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190399.json
[2026-02-04T08:18:07.197+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190410.json
[2026-02-04T08:18:07.229+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190421.json
[2026-02-04T08:18:07.256+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190432.json
[2026-02-04T08:18:07.287+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190442.json
[2026-02-04T08:18:07.316+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190453.json
[2026-02-04T08:18:07.343+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190463.json
[2026-02-04T08:18:07.376+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190474.json
[2026-02-04T08:18:07.412+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190485.json
[2026-02-04T08:18:07.441+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190495.json
[2026-02-04T08:18:07.461+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190506.json
[2026-02-04T08:18:07.484+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190516.json
[2026-02-04T08:18:07.505+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190527.json
[2026-02-04T08:18:07.526+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190537.json
[2026-02-04T08:18:07.547+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190548.json
[2026-02-04T08:18:07.572+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190559.json
[2026-02-04T08:18:07.591+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190569.json
[2026-02-04T08:18:07.609+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190580.json
[2026-02-04T08:18:07.631+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190590.json
[2026-02-04T08:18:07.652+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190600.json
[2026-02-04T08:18:07.672+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190611.json
[2026-02-04T08:18:07.693+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190621.json
[2026-02-04T08:18:07.713+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190632.json
[2026-02-04T08:18:07.735+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190642.json
[2026-02-04T08:18:07.754+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190652.json
[2026-02-04T08:18:07.777+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190663.json
[2026-02-04T08:18:07.805+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190673.json
[2026-02-04T08:18:07.826+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190683.json
[2026-02-04T08:18:07.845+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190694.json
[2026-02-04T08:18:07.864+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190704.json
[2026-02-04T08:18:07.884+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190715.json
[2026-02-04T08:18:07.906+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190725.json
[2026-02-04T08:18:07.923+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190736.json
[2026-02-04T08:18:07.942+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190746.json
[2026-02-04T08:18:07.965+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190757.json
[2026-02-04T08:18:07.985+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190767.json
[2026-02-04T08:18:08.003+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190778.json
[2026-02-04T08:18:08.021+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190788.json
[2026-02-04T08:18:08.039+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190799.json
[2026-02-04T08:18:08.058+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190810.json
[2026-02-04T08:18:08.075+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190820.json
[2026-02-04T08:18:08.099+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190831.json
[2026-02-04T08:18:08.118+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190842.json
[2026-02-04T08:18:08.138+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190852.json
[2026-02-04T08:18:08.159+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190863.json
[2026-02-04T08:18:08.173+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190873.json
[2026-02-04T08:18:08.191+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190884.json
[2026-02-04T08:18:08.209+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190895.json
[2026-02-04T08:18:08.229+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190908.json
[2026-02-04T08:18:08.247+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190919.json
[2026-02-04T08:18:08.268+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190929.json
[2026-02-04T08:18:08.288+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190940.json
[2026-02-04T08:18:08.306+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190951.json
[2026-02-04T08:18:08.326+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190962.json
[2026-02-04T08:18:08.345+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190972.json
[2026-02-04T08:18:08.363+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190983.json
[2026-02-04T08:18:08.382+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190995.json
[2026-02-04T08:18:08.400+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191006.json
[2026-02-04T08:18:08.432+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191017.json
[2026-02-04T08:18:08.457+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191028.json
[2026-02-04T08:18:08.479+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191039.json
[2026-02-04T08:18:08.502+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191049.json
[2026-02-04T08:18:08.523+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191060.json
[2026-02-04T08:18:08.543+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191070.json
[2026-02-04T08:18:08.564+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191081.json
[2026-02-04T08:18:08.585+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191091.json
[2026-02-04T08:18:08.608+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191101.json
[2026-02-04T08:18:08.637+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191111.json
[2026-02-04T08:18:08.658+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191122.json
[2026-02-04T08:18:08.677+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191133.json
[2026-02-04T08:18:08.701+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191144.json
[2026-02-04T08:18:08.720+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191154.json
[2026-02-04T08:18:08.745+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191165.json
[2026-02-04T08:18:08.768+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191175.json
[2026-02-04T08:18:08.787+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191186.json
[2026-02-04T08:18:08.805+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191197.json
[2026-02-04T08:18:08.823+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191207.json
[2026-02-04T08:18:08.841+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191218.json
[2026-02-04T08:18:08.862+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191229.json
[2026-02-04T08:18:08.884+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191240.json
[2026-02-04T08:18:08.903+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191251.json
[2026-02-04T08:18:08.922+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191261.json
[2026-02-04T08:18:08.944+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191272.json
[2026-02-04T08:18:08.966+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191283.json
[2026-02-04T08:18:08.985+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191293.json
[2026-02-04T08:18:09.005+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190215.json
[2026-02-04T08:18:09.023+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190226.json
[2026-02-04T08:18:09.046+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190237.json
[2026-02-04T08:18:09.066+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190249.json
[2026-02-04T08:18:09.089+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190261.json
[2026-02-04T08:18:09.108+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190271.json
[2026-02-04T08:18:09.125+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190282.json
[2026-02-04T08:18:09.143+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190293.json
[2026-02-04T08:18:09.162+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190303.json
[2026-02-04T08:18:09.182+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190316.json
[2026-02-04T08:18:09.201+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190326.json
[2026-02-04T08:18:09.223+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190337.json
[2026-02-04T08:18:09.242+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190348.json
[2026-02-04T08:18:09.264+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190360.json
[2026-02-04T08:18:09.285+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190371.json
[2026-02-04T08:18:09.304+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190381.json
[2026-02-04T08:18:09.324+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190392.json
[2026-02-04T08:18:09.341+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190403.json
[2026-02-04T08:18:09.360+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190414.json
[2026-02-04T08:18:09.382+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190425.json
[2026-02-04T08:18:09.404+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190435.json
[2026-02-04T08:18:09.431+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190446.json
[2026-02-04T08:18:09.470+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190456.json
[2026-02-04T08:18:09.508+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190467.json
[2026-02-04T08:18:09.529+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190477.json
[2026-02-04T08:18:09.551+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190488.json
[2026-02-04T08:18:09.572+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190499.json
[2026-02-04T08:18:09.594+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190509.json
[2026-02-04T08:18:09.615+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190520.json
[2026-02-04T08:18:09.639+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190531.json
[2026-02-04T08:18:09.663+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190541.json
[2026-02-04T08:18:09.688+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190552.json
[2026-02-04T08:18:09.721+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190562.json
[2026-02-04T08:18:09.751+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190573.json
[2026-02-04T08:18:09.773+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190583.json
[2026-02-04T08:18:09.800+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190593.json
[2026-02-04T08:18:09.821+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190604.json
[2026-02-04T08:18:09.843+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190615.json
[2026-02-04T08:18:09.865+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190625.json
[2026-02-04T08:18:09.887+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190635.json
[2026-02-04T08:18:09.911+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190645.json
[2026-02-04T08:18:09.935+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190656.json
[2026-02-04T08:18:09.965+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190666.json
[2026-02-04T08:18:09.986+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190677.json
[2026-02-04T08:18:10.007+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190687.json
[2026-02-04T08:18:10.034+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190697.json
[2026-02-04T08:18:10.058+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190708.json
[2026-02-04T08:18:10.078+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190718.json
[2026-02-04T08:18:10.099+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190729.json
[2026-02-04T08:18:10.122+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190739.json
[2026-02-04T08:18:10.141+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190750.json
[2026-02-04T08:18:10.164+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190760.json
[2026-02-04T08:18:10.184+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190771.json
[2026-02-04T08:18:10.205+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190781.json
[2026-02-04T08:18:10.225+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190792.json
[2026-02-04T08:18:10.244+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190803.json
[2026-02-04T08:18:10.268+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190813.json
[2026-02-04T08:18:10.288+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190824.json
[2026-02-04T08:18:10.306+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190835.json
[2026-02-04T08:18:10.339+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190845.json
[2026-02-04T08:18:10.362+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190856.json
[2026-02-04T08:18:10.390+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190866.json
[2026-02-04T08:18:10.416+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190877.json
[2026-02-04T08:18:10.437+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190888.json
[2026-02-04T08:18:10.460+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1770190901.json
