[2026-02-04T08:38:04.969+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-04T08:38:05.053+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T08:37:00+00:00 [queued]>
[2026-02-04T08:38:05.074+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T08:37:00+00:00 [queued]>
[2026-02-04T08:38:05.076+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-04T08:38:05.104+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-04 08:37:00+00:00
[2026-02-04T08:38:05.132+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=90287) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-04T08:38:05.136+0000] {standard_task_runner.py:64} INFO - Started process 90322 to run task
[2026-02-04T08:38:05.133+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-04T08:37:00+00:00', '--job-id', '789', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpd4xm6hii']
[2026-02-04T08:38:05.140+0000] {standard_task_runner.py:91} INFO - Job 789: Subtask download_minio
[2026-02-04T08:38:05.371+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T08:37:00+00:00 [running]> on host 1a57f62d265e
[2026-02-04T08:38:05.646+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-04T08:37:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-04T08:37:00+00:00'
[2026-02-04T08:38:05.650+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-04T08:38:06.259+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190211.json
[2026-02-04T08:38:06.284+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190221.json
[2026-02-04T08:38:06.312+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190233.json
[2026-02-04T08:38:06.334+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190244.json
[2026-02-04T08:38:06.365+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190256.json
[2026-02-04T08:38:06.394+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190268.json
[2026-02-04T08:38:06.420+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190278.json
[2026-02-04T08:38:06.448+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190289.json
[2026-02-04T08:38:06.471+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190300.json
[2026-02-04T08:38:06.493+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190310.json
[2026-02-04T08:38:06.514+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190323.json
[2026-02-04T08:38:06.536+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190333.json
[2026-02-04T08:38:06.556+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190344.json
[2026-02-04T08:38:06.579+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190356.json
[2026-02-04T08:38:06.602+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190368.json
[2026-02-04T08:38:06.623+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190378.json
[2026-02-04T08:38:06.644+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190388.json
[2026-02-04T08:38:06.665+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190399.json
[2026-02-04T08:38:06.686+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190410.json
[2026-02-04T08:38:06.709+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190421.json
[2026-02-04T08:38:06.734+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190432.json
[2026-02-04T08:38:06.761+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190442.json
[2026-02-04T08:38:06.787+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190453.json
[2026-02-04T08:38:06.810+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190463.json
[2026-02-04T08:38:06.837+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190474.json
[2026-02-04T08:38:06.857+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190485.json
[2026-02-04T08:38:06.877+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190495.json
[2026-02-04T08:38:06.900+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190506.json
[2026-02-04T08:38:06.927+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190516.json
[2026-02-04T08:38:06.952+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190527.json
[2026-02-04T08:38:06.978+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190537.json
[2026-02-04T08:38:07.004+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190548.json
[2026-02-04T08:38:07.034+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190559.json
[2026-02-04T08:38:07.059+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190569.json
[2026-02-04T08:38:07.080+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190580.json
[2026-02-04T08:38:07.100+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190590.json
[2026-02-04T08:38:07.119+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190600.json
[2026-02-04T08:38:07.140+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190611.json
[2026-02-04T08:38:07.160+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190621.json
[2026-02-04T08:38:07.179+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190632.json
[2026-02-04T08:38:07.200+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190642.json
[2026-02-04T08:38:07.222+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190652.json
[2026-02-04T08:38:07.250+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190663.json
[2026-02-04T08:38:07.279+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190673.json
[2026-02-04T08:38:07.297+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190683.json
[2026-02-04T08:38:07.315+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190694.json
[2026-02-04T08:38:07.335+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190704.json
[2026-02-04T08:38:07.359+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190715.json
[2026-02-04T08:38:07.385+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190725.json
[2026-02-04T08:38:07.408+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190736.json
[2026-02-04T08:38:07.432+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190746.json
[2026-02-04T08:38:07.453+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190757.json
[2026-02-04T08:38:07.476+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190767.json
[2026-02-04T08:38:07.494+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190778.json
[2026-02-04T08:38:07.513+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190788.json
[2026-02-04T08:38:07.534+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190799.json
[2026-02-04T08:38:07.552+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190810.json
[2026-02-04T08:38:07.573+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190820.json
[2026-02-04T08:38:07.594+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190831.json
[2026-02-04T08:38:07.618+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190842.json
[2026-02-04T08:38:07.638+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190852.json
[2026-02-04T08:38:07.658+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190863.json
[2026-02-04T08:38:07.677+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190873.json
[2026-02-04T08:38:07.694+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190884.json
[2026-02-04T08:38:07.712+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190895.json
[2026-02-04T08:38:07.732+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190908.json
[2026-02-04T08:38:07.753+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190919.json
[2026-02-04T08:38:07.776+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190929.json
[2026-02-04T08:38:07.794+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190940.json
[2026-02-04T08:38:07.814+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190951.json
[2026-02-04T08:38:07.834+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190962.json
[2026-02-04T08:38:07.852+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190972.json
[2026-02-04T08:38:07.870+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190983.json
[2026-02-04T08:38:07.888+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190995.json
[2026-02-04T08:38:07.908+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191006.json
[2026-02-04T08:38:07.930+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191017.json
[2026-02-04T08:38:07.951+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191028.json
[2026-02-04T08:38:07.973+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191039.json
[2026-02-04T08:38:07.991+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191049.json
[2026-02-04T08:38:08.014+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191060.json
[2026-02-04T08:38:08.037+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191070.json
[2026-02-04T08:38:08.057+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191081.json
[2026-02-04T08:38:08.077+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191091.json
[2026-02-04T08:38:08.102+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191101.json
[2026-02-04T08:38:08.128+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191111.json
[2026-02-04T08:38:08.167+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191122.json
[2026-02-04T08:38:08.216+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191133.json
