[2026-02-04T08:58:01.854+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-04T08:58:01.894+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T08:57:00+00:00 [queued]>
[2026-02-04T08:58:01.905+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T08:57:00+00:00 [queued]>
[2026-02-04T08:58:01.906+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-04T08:58:01.924+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-04 08:57:00+00:00
[2026-02-04T08:58:01.936+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=21448) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-04T08:58:01.937+0000] {standard_task_runner.py:64} INFO - Started process 21461 to run task
[2026-02-04T08:58:01.936+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-04T08:57:00+00:00', '--job-id', '829', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp184aspf8']
[2026-02-04T08:58:01.939+0000] {standard_task_runner.py:91} INFO - Job 829: Subtask download_minio
[2026-02-04T08:58:02.029+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T08:57:00+00:00 [running]> on host 1a57f62d265e
[2026-02-04T08:58:02.153+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-04T08:57:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-04T08:57:00+00:00'
[2026-02-04T08:58:02.155+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-04T08:58:02.367+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190211.json
[2026-02-04T08:58:02.376+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190221.json
[2026-02-04T08:58:02.385+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190233.json
[2026-02-04T08:58:02.394+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190244.json
[2026-02-04T08:58:02.405+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190256.json
[2026-02-04T08:58:02.415+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190268.json
[2026-02-04T08:58:02.423+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190278.json
[2026-02-04T08:58:02.432+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190289.json
[2026-02-04T08:58:02.441+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190300.json
[2026-02-04T08:58:02.449+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190310.json
[2026-02-04T08:58:02.457+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190323.json
[2026-02-04T08:58:02.466+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190333.json
[2026-02-04T08:58:02.474+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190344.json
[2026-02-04T08:58:02.482+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190356.json
[2026-02-04T08:58:02.491+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190368.json
[2026-02-04T08:58:02.500+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190378.json
[2026-02-04T08:58:02.509+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190388.json
[2026-02-04T08:58:02.518+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190399.json
[2026-02-04T08:58:02.528+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190410.json
[2026-02-04T08:58:02.537+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190421.json
[2026-02-04T08:58:02.545+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190432.json
[2026-02-04T08:58:02.554+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190442.json
[2026-02-04T08:58:02.563+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190453.json
[2026-02-04T08:58:02.571+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190463.json
[2026-02-04T08:58:02.582+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190474.json
[2026-02-04T08:58:02.591+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190485.json
[2026-02-04T08:58:02.599+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190495.json
[2026-02-04T08:58:02.607+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190506.json
[2026-02-04T08:58:02.617+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190516.json
[2026-02-04T08:58:02.626+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190527.json
[2026-02-04T08:58:02.635+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190537.json
[2026-02-04T08:58:02.643+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190548.json
[2026-02-04T08:58:02.653+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190559.json
[2026-02-04T08:58:02.661+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190569.json
[2026-02-04T08:58:02.669+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190580.json
[2026-02-04T08:58:02.678+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190590.json
[2026-02-04T08:58:02.687+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190600.json
[2026-02-04T08:58:02.695+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190611.json
[2026-02-04T08:58:02.705+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190621.json
[2026-02-04T08:58:02.714+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190632.json
[2026-02-04T08:58:02.723+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190642.json
[2026-02-04T08:58:02.732+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190652.json
[2026-02-04T08:58:02.743+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190663.json
[2026-02-04T08:58:02.755+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190673.json
[2026-02-04T08:58:02.765+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190683.json
[2026-02-04T08:58:02.776+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190694.json
[2026-02-04T08:58:02.788+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190704.json
[2026-02-04T08:58:02.799+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190715.json
[2026-02-04T08:58:02.808+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190725.json
[2026-02-04T08:58:02.817+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190736.json
[2026-02-04T08:58:02.826+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190746.json
[2026-02-04T08:58:02.835+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190757.json
[2026-02-04T08:58:02.845+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190767.json
[2026-02-04T08:58:02.853+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190778.json
[2026-02-04T08:58:02.862+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190788.json
[2026-02-04T08:58:02.870+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190799.json
[2026-02-04T08:58:02.879+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190810.json
[2026-02-04T08:58:02.888+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190820.json
[2026-02-04T08:58:02.896+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190831.json
[2026-02-04T08:58:02.905+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190842.json
[2026-02-04T08:58:02.914+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190852.json
[2026-02-04T08:58:02.923+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190863.json
[2026-02-04T08:58:02.932+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190873.json
[2026-02-04T08:58:02.941+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190884.json
[2026-02-04T08:58:02.954+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190895.json
[2026-02-04T08:58:02.966+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190908.json
[2026-02-04T08:58:02.976+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190919.json
[2026-02-04T08:58:02.986+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190929.json
[2026-02-04T08:58:02.996+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190940.json
[2026-02-04T08:58:03.006+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190951.json
[2026-02-04T08:58:03.015+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190962.json
[2026-02-04T08:58:03.024+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190972.json
[2026-02-04T08:58:03.033+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190983.json
[2026-02-04T08:58:03.042+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190995.json
[2026-02-04T08:58:03.050+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191006.json
[2026-02-04T08:58:03.059+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191017.json
[2026-02-04T08:58:03.069+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191028.json
[2026-02-04T08:58:03.078+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191039.json
[2026-02-04T08:58:03.087+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191049.json
[2026-02-04T08:58:03.095+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191060.json
[2026-02-04T08:58:03.103+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191070.json
[2026-02-04T08:58:03.112+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191081.json
[2026-02-04T08:58:03.120+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191091.json
[2026-02-04T08:58:03.129+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191101.json
[2026-02-04T08:58:03.137+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191111.json
[2026-02-04T08:58:03.146+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191122.json
[2026-02-04T08:58:03.155+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191133.json
[2026-02-04T08:58:03.164+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191144.json
[2026-02-04T08:58:03.174+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191154.json
[2026-02-04T08:58:03.183+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191165.json
[2026-02-04T08:58:03.192+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191175.json
[2026-02-04T08:58:03.201+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191186.json
[2026-02-04T08:58:03.210+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191197.json
[2026-02-04T08:58:03.219+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191207.json
[2026-02-04T08:58:03.228+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191218.json
[2026-02-04T08:58:03.237+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191229.json
[2026-02-04T08:58:03.246+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191240.json
[2026-02-04T08:58:03.255+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770191251.json
