[2026-02-11T07:53:02.448+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-11T07:53:02.506+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T07:52:00+00:00 [queued]>
[2026-02-11T07:53:02.518+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T07:52:00+00:00 [queued]>
[2026-02-11T07:53:02.519+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-11T07:53:02.539+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-11 07:52:00+00:00
[2026-02-11T07:53:02.548+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=4992) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-11T07:53:02.550+0000] {standard_task_runner.py:64} INFO - Started process 5007 to run task
[2026-02-11T07:53:02.549+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-11T07:52:00+00:00', '--job-id', '1022', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpluon4993']
[2026-02-11T07:53:02.552+0000] {standard_task_runner.py:91} INFO - Job 1022: Subtask download_minio
[2026-02-11T07:53:02.649+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T07:52:00+00:00 [running]> on host 6729b10e6876
[2026-02-11T07:53:02.784+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-11T07:52:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-11T07:52:00+00:00'
[2026-02-11T07:53:02.787+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-11T07:53:02.998+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795801.json
[2026-02-11T07:53:03.008+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795811.json
[2026-02-11T07:53:03.017+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795821.json
[2026-02-11T07:53:03.027+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795832.json
[2026-02-11T07:53:03.036+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795843.json
[2026-02-11T07:53:03.045+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795854.json
[2026-02-11T07:53:03.055+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795864.json
[2026-02-11T07:53:03.064+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795875.json
[2026-02-11T07:53:03.073+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795889.json
[2026-02-11T07:53:03.082+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795899.json
[2026-02-11T07:53:03.090+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795910.json
[2026-02-11T07:53:03.099+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795920.json
[2026-02-11T07:53:03.109+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795931.json
[2026-02-11T07:53:03.118+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795942.json
[2026-02-11T07:53:03.127+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795952.json
[2026-02-11T07:53:03.135+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795962.json
[2026-02-11T07:53:03.144+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795973.json
[2026-02-11T07:53:03.153+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795984.json
[2026-02-11T07:53:03.164+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795995.json
[2026-02-11T07:53:03.180+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796006.json
[2026-02-11T07:53:03.195+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796016.json
[2026-02-11T07:53:03.206+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796027.json
[2026-02-11T07:53:03.215+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796038.json
[2026-02-11T07:53:03.226+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796048.json
[2026-02-11T07:53:03.236+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796059.json
[2026-02-11T07:53:03.247+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796069.json
[2026-02-11T07:53:03.258+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796079.json
[2026-02-11T07:53:03.267+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796091.json
[2026-02-11T07:53:03.276+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796102.json
[2026-02-11T07:53:03.284+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796113.json
[2026-02-11T07:53:03.293+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796123.json
[2026-02-11T07:53:03.302+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796133.json
[2026-02-11T07:53:03.310+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796143.json
[2026-02-11T07:53:03.323+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796156.json
[2026-02-11T07:53:03.335+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796166.json
[2026-02-11T07:53:03.344+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796178.json
[2026-02-11T07:53:03.354+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796188.json
[2026-02-11T07:53:03.363+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796200.json
[2026-02-11T07:53:03.374+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796211.json
