[2026-02-11T09:37:02.613+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-11T09:37:02.667+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T09:36:00+00:00 [queued]>
[2026-02-11T09:37:02.676+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T09:36:00+00:00 [queued]>
[2026-02-11T09:37:02.678+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-11T09:37:02.696+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-11 09:36:00+00:00
[2026-02-11T09:37:02.712+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=45607) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-11T09:37:02.710+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-11T09:36:00+00:00', '--job-id', '1184', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpms7edz7g']
[2026-02-11T09:37:02.715+0000] {standard_task_runner.py:64} INFO - Started process 45627 to run task
[2026-02-11T09:37:02.715+0000] {standard_task_runner.py:91} INFO - Job 1184: Subtask download_minio
[2026-02-11T09:37:02.836+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T09:36:00+00:00 [running]> on host 6729b10e6876
[2026-02-11T09:37:02.981+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-11T09:36:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-11T09:36:00+00:00'
[2026-02-11T09:37:02.983+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-11T09:37:03.762+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795801.json
[2026-02-11T09:37:03.771+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795811.json
[2026-02-11T09:37:03.781+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795821.json
[2026-02-11T09:37:03.792+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795832.json
[2026-02-11T09:37:03.801+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795843.json
[2026-02-11T09:37:03.814+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795854.json
[2026-02-11T09:37:03.828+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795864.json
[2026-02-11T09:37:03.845+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795875.json
[2026-02-11T09:37:03.861+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795889.json
[2026-02-11T09:37:03.875+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795899.json
[2026-02-11T09:37:03.892+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795910.json
[2026-02-11T09:37:03.909+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795920.json
[2026-02-11T09:37:03.928+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795931.json
[2026-02-11T09:37:04.031+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795942.json
[2026-02-11T09:37:04.041+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795952.json
[2026-02-11T09:37:04.051+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795962.json
[2026-02-11T09:37:04.060+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795973.json
[2026-02-11T09:37:04.069+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795984.json
[2026-02-11T09:37:04.082+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795995.json
[2026-02-11T09:37:04.094+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796006.json
[2026-02-11T09:37:04.105+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796016.json
