[2026-02-11T09:42:05.219+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-11T09:42:05.308+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T09:41:00+00:00 [queued]>
[2026-02-11T09:42:05.330+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T09:41:00+00:00 [queued]>
[2026-02-11T09:42:05.332+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-11T09:42:05.379+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-11 09:41:00+00:00
[2026-02-11T09:42:05.407+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=55174) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-11T09:42:05.411+0000] {standard_task_runner.py:64} INFO - Started process 55221 to run task
[2026-02-11T09:42:05.407+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-11T09:41:00+00:00', '--job-id', '1194', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpgvtjckkp']
[2026-02-11T09:42:05.414+0000] {standard_task_runner.py:91} INFO - Job 1194: Subtask download_minio
[2026-02-11T09:42:05.663+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T09:41:00+00:00 [running]> on host 6729b10e6876
[2026-02-11T09:42:05.964+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-11T09:41:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-11T09:41:00+00:00'
[2026-02-11T09:42:05.968+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-11T09:42:07.222+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795801.json
[2026-02-11T09:42:07.241+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795811.json
[2026-02-11T09:42:07.265+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795821.json
[2026-02-11T09:42:07.286+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795832.json
[2026-02-11T09:42:07.307+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795843.json
[2026-02-11T09:42:07.324+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795854.json
[2026-02-11T09:42:07.345+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795864.json
[2026-02-11T09:42:07.366+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795875.json
[2026-02-11T09:42:07.387+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795889.json
[2026-02-11T09:42:07.406+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795899.json
[2026-02-11T09:42:07.425+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795910.json
[2026-02-11T09:42:07.446+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795920.json
[2026-02-11T09:42:07.464+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795931.json
[2026-02-11T09:42:07.486+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795942.json
[2026-02-11T09:42:07.511+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795952.json
[2026-02-11T09:42:07.534+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795962.json
[2026-02-11T09:42:07.558+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795973.json
[2026-02-11T09:42:07.581+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795984.json
[2026-02-11T09:42:07.609+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795995.json
[2026-02-11T09:42:07.633+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796006.json
[2026-02-11T09:42:07.654+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796016.json
[2026-02-11T09:42:07.678+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796027.json
[2026-02-11T09:42:07.696+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796038.json
[2026-02-11T09:42:07.714+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796048.json
[2026-02-11T09:42:07.732+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796059.json
[2026-02-11T09:42:07.751+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796069.json
[2026-02-11T09:42:07.776+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796079.json
[2026-02-11T09:42:07.795+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796091.json
[2026-02-11T09:42:07.815+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796102.json
[2026-02-11T09:42:07.832+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796113.json
[2026-02-11T09:42:07.850+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796123.json
[2026-02-11T09:42:07.872+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796133.json
[2026-02-11T09:42:07.895+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796143.json
[2026-02-11T09:42:07.924+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796156.json
[2026-02-11T09:42:07.956+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796166.json
[2026-02-11T09:42:07.979+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796178.json
[2026-02-11T09:42:08.003+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796188.json
[2026-02-11T09:42:08.021+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796200.json
[2026-02-11T09:42:08.038+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796211.json
[2026-02-11T09:42:08.058+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796222.json
[2026-02-11T09:42:08.076+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796233.json
[2026-02-11T09:42:08.094+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796243.json
[2026-02-11T09:42:08.113+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796253.json
[2026-02-11T09:42:08.139+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796264.json
[2026-02-11T09:42:08.174+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796275.json
[2026-02-11T09:42:08.196+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796286.json
[2026-02-11T09:42:08.233+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796297.json
[2026-02-11T09:42:08.257+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796307.json
[2026-02-11T09:42:08.279+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796318.json
[2026-02-11T09:42:08.300+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796328.json
[2026-02-11T09:42:08.320+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796339.json
[2026-02-11T09:42:08.345+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796350.json
[2026-02-11T09:42:08.363+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796360.json
[2026-02-11T09:42:08.383+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796371.json
[2026-02-11T09:42:08.400+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796381.json
[2026-02-11T09:42:08.420+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796392.json
[2026-02-11T09:42:08.439+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796402.json
[2026-02-11T09:42:08.458+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796413.json
[2026-02-11T09:42:08.480+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796424.json
[2026-02-11T09:42:08.509+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796435.json
[2026-02-11T09:42:08.533+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796446.json
[2026-02-11T09:42:08.557+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796456.json
[2026-02-11T09:42:08.577+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796467.json
[2026-02-11T09:42:08.601+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796478.json
[2026-02-11T09:42:08.625+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796488.json
[2026-02-11T09:42:08.651+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796499.json
[2026-02-11T09:42:08.685+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796510.json
[2026-02-11T09:42:08.722+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796521.json
[2026-02-11T09:42:08.757+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796531.json
[2026-02-11T09:42:08.789+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796541.json
