[2026-02-11T10:06:01.536+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-11T10:06:01.574+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T10:05:00+00:00 [queued]>
[2026-02-11T10:06:01.585+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T10:05:00+00:00 [queued]>
[2026-02-11T10:06:01.586+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-11T10:06:01.603+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-11 10:05:00+00:00
[2026-02-11T10:06:01.615+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1049) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-11T10:06:01.616+0000] {standard_task_runner.py:64} INFO - Started process 1066 to run task
[2026-02-11T10:06:01.615+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-11T10:05:00+00:00', '--job-id', '1242', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp6l8hylw8']
[2026-02-11T10:06:01.618+0000] {standard_task_runner.py:91} INFO - Job 1242: Subtask download_minio
[2026-02-11T10:06:01.720+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T10:05:00+00:00 [running]> on host 6729b10e6876
[2026-02-11T10:06:01.849+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-11T10:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-11T10:05:00+00:00'
[2026-02-11T10:06:01.850+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-11T10:06:02.134+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795801.json
[2026-02-11T10:06:02.145+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795811.json
[2026-02-11T10:06:02.157+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795821.json
[2026-02-11T10:06:02.166+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795832.json
[2026-02-11T10:06:02.176+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795843.json
[2026-02-11T10:06:02.186+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795854.json
[2026-02-11T10:06:02.196+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795864.json
[2026-02-11T10:06:02.206+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795875.json
[2026-02-11T10:06:02.216+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795889.json
[2026-02-11T10:06:02.225+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795899.json
[2026-02-11T10:06:02.235+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795910.json
[2026-02-11T10:06:02.244+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795920.json
[2026-02-11T10:06:02.254+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795931.json
[2026-02-11T10:06:02.264+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795942.json
[2026-02-11T10:06:02.277+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795952.json
[2026-02-11T10:06:02.288+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795962.json
[2026-02-11T10:06:02.298+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795973.json
[2026-02-11T10:06:02.310+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795984.json
[2026-02-11T10:06:02.320+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795995.json
[2026-02-11T10:06:02.331+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796006.json
[2026-02-11T10:06:02.342+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796016.json
[2026-02-11T10:06:02.352+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796027.json
[2026-02-11T10:06:02.362+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796038.json
[2026-02-11T10:06:02.374+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796048.json
[2026-02-11T10:06:02.384+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796059.json
[2026-02-11T10:06:02.396+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796069.json
[2026-02-11T10:06:02.409+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796079.json
[2026-02-11T10:06:02.422+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796091.json
[2026-02-11T10:06:02.436+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796102.json
[2026-02-11T10:06:02.449+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796113.json
[2026-02-11T10:06:02.463+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796123.json
[2026-02-11T10:06:02.478+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796133.json
[2026-02-11T10:06:02.490+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796143.json
[2026-02-11T10:06:02.500+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796156.json
[2026-02-11T10:06:02.510+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796166.json
[2026-02-11T10:06:02.522+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796178.json
[2026-02-11T10:06:02.534+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796188.json
[2026-02-11T10:06:02.545+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796200.json
[2026-02-11T10:06:02.555+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796211.json
[2026-02-11T10:06:02.565+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796222.json
[2026-02-11T10:06:02.574+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796233.json
[2026-02-11T10:06:02.584+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796243.json
[2026-02-11T10:06:02.593+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796253.json
[2026-02-11T10:06:02.602+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796264.json
[2026-02-11T10:06:02.612+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796275.json
[2026-02-11T10:06:02.624+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796286.json
[2026-02-11T10:06:02.636+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796297.json
[2026-02-11T10:06:02.648+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796307.json
[2026-02-11T10:06:02.659+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796318.json
[2026-02-11T10:06:02.669+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796328.json
[2026-02-11T10:06:02.679+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796339.json
[2026-02-11T10:06:02.689+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796350.json
[2026-02-11T10:06:02.698+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796360.json
[2026-02-11T10:06:02.707+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796371.json
[2026-02-11T10:06:02.717+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796381.json
