[2026-02-11T10:20:01.749+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-11T10:20:01.788+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T10:19:00+00:00 [queued]>
[2026-02-11T10:20:01.797+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T10:19:00+00:00 [queued]>
[2026-02-11T10:20:01.799+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-11T10:20:01.835+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-11 10:19:00+00:00
[2026-02-11T10:20:01.845+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=27553) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-11T10:20:01.847+0000] {standard_task_runner.py:64} INFO - Started process 27571 to run task
[2026-02-11T10:20:01.845+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-11T10:19:00+00:00', '--job-id', '1270', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmptggo9jmk']
[2026-02-11T10:20:01.853+0000] {standard_task_runner.py:91} INFO - Job 1270: Subtask download_minio
[2026-02-11T10:20:01.951+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T10:19:00+00:00 [running]> on host 6729b10e6876
[2026-02-11T10:20:02.086+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-11T10:19:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-11T10:19:00+00:00'
[2026-02-11T10:20:02.088+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-11T10:20:02.366+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795801.json
[2026-02-11T10:20:02.379+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795811.json
[2026-02-11T10:20:02.388+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795821.json
[2026-02-11T10:20:02.396+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795832.json
[2026-02-11T10:20:02.405+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795843.json
[2026-02-11T10:20:02.416+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795854.json
[2026-02-11T10:20:02.424+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795864.json
[2026-02-11T10:20:02.433+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795875.json
[2026-02-11T10:20:02.442+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795889.json
[2026-02-11T10:20:02.450+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795899.json
[2026-02-11T10:20:02.459+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795910.json
[2026-02-11T10:20:02.468+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795920.json
[2026-02-11T10:20:02.476+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795931.json
[2026-02-11T10:20:02.486+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795942.json
[2026-02-11T10:20:02.494+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795952.json
[2026-02-11T10:20:02.504+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795962.json
[2026-02-11T10:20:02.514+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795973.json
[2026-02-11T10:20:02.522+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795984.json
[2026-02-11T10:20:02.531+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795995.json
[2026-02-11T10:20:02.539+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796006.json
[2026-02-11T10:20:02.548+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796016.json
[2026-02-11T10:20:02.557+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796027.json
[2026-02-11T10:20:02.567+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796038.json
[2026-02-11T10:20:02.575+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796048.json
[2026-02-11T10:20:02.583+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796059.json
[2026-02-11T10:20:02.593+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796069.json
[2026-02-11T10:20:02.601+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796079.json
[2026-02-11T10:20:02.610+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796091.json
[2026-02-11T10:20:02.619+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796102.json
[2026-02-11T10:20:02.629+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796113.json
[2026-02-11T10:20:02.642+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796123.json
[2026-02-11T10:20:02.657+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796133.json
[2026-02-11T10:20:02.670+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796143.json
[2026-02-11T10:20:02.680+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796156.json
[2026-02-11T10:20:02.690+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796166.json
[2026-02-11T10:20:02.699+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796178.json
[2026-02-11T10:20:02.709+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796188.json
[2026-02-11T10:20:02.718+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796200.json
[2026-02-11T10:20:02.729+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796211.json
[2026-02-11T10:20:02.741+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796222.json
[2026-02-11T10:20:02.753+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796233.json
[2026-02-11T10:20:02.764+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796243.json
[2026-02-11T10:20:02.775+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796253.json
[2026-02-11T10:20:02.786+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796264.json
[2026-02-11T10:20:02.795+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796275.json
[2026-02-11T10:20:02.805+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796286.json
[2026-02-11T10:20:02.815+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796297.json
[2026-02-11T10:20:02.825+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796307.json
[2026-02-11T10:20:02.835+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796318.json
[2026-02-11T10:20:02.845+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796328.json
