[2026-02-11T10:40:05.076+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-11T10:40:05.171+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T10:39:00+00:00 [queued]>
[2026-02-11T10:40:05.194+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T10:39:00+00:00 [queued]>
[2026-02-11T10:40:05.196+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-11T10:40:05.267+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-11 10:39:00+00:00
[2026-02-11T10:40:05.297+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=65166) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-11T10:40:05.309+0000] {standard_task_runner.py:64} INFO - Started process 65213 to run task
[2026-02-11T10:40:05.305+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-11T10:39:00+00:00', '--job-id', '1310', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpk6z9sr9h']
[2026-02-11T10:40:05.324+0000] {standard_task_runner.py:91} INFO - Job 1310: Subtask download_minio
[2026-02-11T10:40:05.609+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T10:39:00+00:00 [running]> on host 6729b10e6876
[2026-02-11T10:40:05.975+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-11T10:39:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-11T10:39:00+00:00'
[2026-02-11T10:40:05.978+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-11T10:40:06.842+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795801.json
[2026-02-11T10:40:06.862+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795811.json
[2026-02-11T10:40:06.884+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795821.json
[2026-02-11T10:40:06.904+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795832.json
[2026-02-11T10:40:06.925+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795843.json
[2026-02-11T10:40:06.943+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795854.json
[2026-02-11T10:40:06.967+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795864.json
[2026-02-11T10:40:06.989+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795875.json
[2026-02-11T10:40:07.009+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795889.json
[2026-02-11T10:40:07.034+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795899.json
[2026-02-11T10:40:07.058+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795910.json
[2026-02-11T10:40:07.085+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795920.json
[2026-02-11T10:40:07.118+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795931.json
[2026-02-11T10:40:07.139+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795942.json
[2026-02-11T10:40:07.161+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795952.json
[2026-02-11T10:40:07.180+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795962.json
[2026-02-11T10:40:07.203+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795973.json
[2026-02-11T10:40:07.223+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795984.json
[2026-02-11T10:40:07.249+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795995.json
[2026-02-11T10:40:07.274+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796006.json
[2026-02-11T10:40:07.307+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796016.json
