[2026-02-16T06:04:33.081+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-16T06:04:33.169+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T05:58:00+00:00 [queued]>
[2026-02-16T06:04:33.191+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T05:58:00+00:00 [queued]>
[2026-02-16T06:04:33.192+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2026-02-16T06:04:33.229+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-16 05:58:00+00:00
[2026-02-16T06:04:33.269+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1259) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-16T06:04:33.266+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-16T05:58:00+00:00', '--job-id', '1411', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpt3x_9k7r']
[2026-02-16T06:04:33.274+0000] {standard_task_runner.py:64} INFO - Started process 1264 to run task
[2026-02-16T06:04:33.275+0000] {standard_task_runner.py:91} INFO - Job 1411: Subtask download_minio
[2026-02-16T06:04:33.571+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T05:58:00+00:00 [running]> on host 353dfeb821e2
[2026-02-16T06:04:33.944+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-16T05:58:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-16T05:58:00+00:00'
[2026-02-16T06:04:33.949+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-16T06:04:35.582+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-16T06:04:35.610+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-16T06:04:35.642+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-16T06:04:35.666+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-16T06:04:35.688+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-16T06:04:35.712+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-16T06:04:35.734+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-16T06:04:35.755+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-16T06:04:35.775+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-16T06:04:35.795+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-16T06:04:35.817+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-16T06:04:35.840+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-16T06:04:35.863+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-16T06:04:35.890+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-16T06:04:35.919+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-16T06:04:35.944+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-16T06:04:35.965+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-16T06:04:35.990+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-16T06:04:36.013+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-16T06:04:36.039+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-16T06:04:36.076+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
[2026-02-16T06:04:36.385+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221698.json
[2026-02-16T06:04:36.407+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221709.json
[2026-02-16T06:04:36.429+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221720.json
[2026-02-16T06:04:36.451+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221733.json
[2026-02-16T06:04:36.470+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221744.json
[2026-02-16T06:04:36.492+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221757.json
[2026-02-16T06:04:36.515+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221768.json
[2026-02-16T06:04:36.538+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221779.json
[2026-02-16T06:04:36.560+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221792.json
[2026-02-16T06:04:36.583+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221807.json
[2026-02-16T06:04:36.609+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221820.json
[2026-02-16T06:04:36.632+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221831.json
[2026-02-16T06:04:36.654+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221843.json
[2026-02-16T06:04:36.675+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221858.json
[2026-02-16T06:04:36.696+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221871.json
[2026-02-16T06:04:36.717+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221451.json
[2026-02-16T06:04:36.742+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221463.json
[2026-02-16T06:04:36.762+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221476.json
[2026-02-16T06:04:36.784+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221489.json
[2026-02-16T06:04:36.805+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221501.json
[2026-02-16T06:04:36.826+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221513.json
[2026-02-16T06:04:36.850+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221526.json
[2026-02-16T06:04:36.873+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221538.json
[2026-02-16T06:04:36.899+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221550.json
[2026-02-16T06:04:36.922+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221561.json
[2026-02-16T06:04:36.943+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221573.json
[2026-02-16T06:04:36.971+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221585.json
[2026-02-16T06:04:36.993+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221596.json
[2026-02-16T06:04:37.013+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221608.json
[2026-02-16T06:04:37.035+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221620.json
[2026-02-16T06:04:37.061+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221631.json
[2026-02-16T06:04:37.082+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221643.json
[2026-02-16T06:04:37.105+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221654.json
[2026-02-16T06:04:37.129+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221666.json
[2026-02-16T06:04:37.149+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221678.json
[2026-02-16T06:04:37.172+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221690.json
[2026-02-16T06:04:37.195+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221702.json
[2026-02-16T06:04:37.215+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221713.json
[2026-02-16T06:04:37.236+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221726.json
[2026-02-16T06:04:37.256+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221737.json
[2026-02-16T06:04:37.275+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221750.json
[2026-02-16T06:04:37.299+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221761.json
[2026-02-16T06:04:37.322+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221772.json
[2026-02-16T06:04:37.344+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221784.json
[2026-02-16T06:04:37.365+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221800.json
[2026-02-16T06:04:37.407+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221812.json
[2026-02-16T06:04:37.469+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221824.json
[2026-02-16T06:04:37.491+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221836.json
[2026-02-16T06:04:37.512+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221851.json
[2026-02-16T06:04:37.532+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221864.json
[2026-02-16T06:04:37.554+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221450.json
[2026-02-16T06:04:37.578+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221462.json
[2026-02-16T06:04:37.596+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221475.json
[2026-02-16T06:04:37.616+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221488.json
[2026-02-16T06:04:37.637+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221500.json
[2026-02-16T06:04:37.655+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221512.json
[2026-02-16T06:04:37.676+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221525.json
[2026-02-16T06:04:37.696+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221537.json
[2026-02-16T06:04:37.715+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221549.json
[2026-02-16T06:04:37.741+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221560.json
[2026-02-16T06:04:37.764+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221571.json
[2026-02-16T06:04:37.788+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221583.json
[2026-02-16T06:04:37.809+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221595.json
[2026-02-16T06:04:37.827+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221607.json
[2026-02-16T06:04:37.851+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221619.json
[2026-02-16T06:04:37.879+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221630.json
[2026-02-16T06:04:37.897+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221642.json
[2026-02-16T06:04:37.936+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221653.json
[2026-02-16T06:04:37.957+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221665.json
[2026-02-16T06:04:37.996+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221677.json
[2026-02-16T06:04:38.022+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221689.json
[2026-02-16T06:04:38.052+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221701.json
[2026-02-16T06:04:38.074+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221712.json
[2026-02-16T06:04:38.127+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221724.json
[2026-02-16T06:04:38.160+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221736.json
[2026-02-16T06:04:38.188+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221748.json
[2026-02-16T06:04:38.208+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221760.json
[2026-02-16T06:04:38.230+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221771.json
[2026-02-16T06:04:38.252+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221783.json
[2026-02-16T06:04:38.275+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221799.json
[2026-02-16T06:04:38.297+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221811.json
[2026-02-16T06:04:38.319+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221823.json
[2026-02-16T06:04:38.340+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221835.json
[2026-02-16T06:04:38.363+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221850.json
[2026-02-16T06:04:38.385+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221862.json
[2026-02-16T06:04:38.409+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771221874.json
[2026-02-16T06:04:38.430+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221448.json
[2026-02-16T06:04:38.452+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221460.json
[2026-02-16T06:04:38.474+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221472.json
[2026-02-16T06:04:38.501+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221484.json
[2026-02-16T06:04:38.525+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221497.json
[2026-02-16T06:04:38.550+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221509.json
[2026-02-16T06:04:38.574+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221523.json
[2026-02-16T06:04:38.610+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221534.json
[2026-02-16T06:04:38.644+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221546.json
[2026-02-16T06:04:38.681+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221558.json
[2026-02-16T06:04:38.721+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221569.json
[2026-02-16T06:04:38.748+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221581.json
[2026-02-16T06:04:38.772+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221593.json
[2026-02-16T06:04:38.796+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221604.json
[2026-02-16T06:04:38.816+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221616.json
[2026-02-16T06:04:38.838+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221628.json
[2026-02-16T06:04:38.866+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221640.json
[2026-02-16T06:04:38.890+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221651.json
[2026-02-16T06:04:38.913+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221663.json
[2026-02-16T06:04:38.935+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221675.json
[2026-02-16T06:04:38.955+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221687.json
[2026-02-16T06:04:38.981+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221698.json
[2026-02-16T06:04:39.009+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221710.json
[2026-02-16T06:04:39.038+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221722.json
[2026-02-16T06:04:39.068+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221734.json
[2026-02-16T06:04:39.092+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221746.json
[2026-02-16T06:04:39.123+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221758.json
[2026-02-16T06:04:39.145+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221769.json
[2026-02-16T06:04:39.167+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221781.json
[2026-02-16T06:04:39.189+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221797.json
[2026-02-16T06:04:39.215+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221808.json
[2026-02-16T06:04:39.236+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221821.json
[2026-02-16T06:04:39.259+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221832.json
[2026-02-16T06:04:39.283+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221848.json
[2026-02-16T06:04:39.306+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221859.json
[2026-02-16T06:04:39.338+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771221872.json
[2026-02-16T06:04:39.374+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221449.json
[2026-02-16T06:04:39.399+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221461.json
[2026-02-16T06:04:39.427+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221473.json
[2026-02-16T06:04:39.450+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221485.json
[2026-02-16T06:04:39.469+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221498.json
[2026-02-16T06:04:39.489+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221511.json
[2026-02-16T06:04:39.513+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221524.json
[2026-02-16T06:04:39.536+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221535.json
[2026-02-16T06:04:39.558+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221547.json
[2026-02-16T06:04:39.580+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221559.json
[2026-02-16T06:04:39.604+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221570.json
[2026-02-16T06:04:39.624+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221582.json
[2026-02-16T06:04:39.647+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221594.json
[2026-02-16T06:04:39.678+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221605.json
[2026-02-16T06:04:39.714+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221617.json
[2026-02-16T06:04:39.736+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221629.json
[2026-02-16T06:04:39.761+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221641.json
[2026-02-16T06:04:39.786+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221652.json
[2026-02-16T06:04:39.810+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221664.json
[2026-02-16T06:04:39.842+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221676.json
[2026-02-16T06:04:39.870+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221688.json
[2026-02-16T06:04:39.891+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221700.json
[2026-02-16T06:04:39.916+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221711.json
[2026-02-16T06:04:39.936+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221723.json
[2026-02-16T06:04:39.965+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221735.json
[2026-02-16T06:04:39.987+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221747.json
[2026-02-16T06:04:40.008+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221759.json
[2026-02-16T06:04:40.027+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221770.json
[2026-02-16T06:04:40.048+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221782.json
[2026-02-16T06:04:40.070+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221798.json
[2026-02-16T06:04:40.090+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221810.json
[2026-02-16T06:04:40.116+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221822.json
[2026-02-16T06:04:40.141+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221834.json
[2026-02-16T06:04:40.163+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221849.json
[2026-02-16T06:04:40.185+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221861.json
[2026-02-16T06:04:40.206+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771221873.json
