[2026-02-16T06:05:20.978+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-16T06:05:21.076+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T05:59:00+00:00 [queued]>
[2026-02-16T06:05:21.102+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T05:59:00+00:00 [queued]>
[2026-02-16T06:05:21.104+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2026-02-16T06:05:21.145+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-16 05:59:00+00:00
[2026-02-16T06:05:21.178+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1730) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-16T06:05:21.184+0000] {standard_task_runner.py:64} INFO - Started process 2156 to run task
[2026-02-16T06:05:21.178+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-16T05:59:00+00:00', '--job-id', '1414', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpk2yrxfrn']
[2026-02-16T06:05:21.187+0000] {standard_task_runner.py:91} INFO - Job 1414: Subtask download_minio
[2026-02-16T06:05:21.842+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T05:59:00+00:00 [running]> on host 353dfeb821e2
[2026-02-16T06:05:22.241+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-16T05:59:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-16T05:59:00+00:00'
[2026-02-16T06:05:22.248+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-16T06:05:23.022+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-16T06:05:23.065+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-16T06:05:23.130+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-16T06:05:23.171+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-16T06:05:23.248+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-16T06:05:23.308+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-16T06:05:23.351+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-16T06:05:23.409+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-16T06:05:23.490+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-16T06:05:23.518+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-16T06:05:23.545+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-16T06:05:23.565+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-16T06:05:23.584+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-16T06:05:23.603+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-16T06:05:23.638+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-16T06:05:23.665+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-16T06:05:23.696+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-16T06:05:23.726+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-16T06:05:23.744+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-16T06:05:23.766+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-16T06:05:24.014+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
