[2026-02-16T06:08:53.549+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-16T06:08:54.462+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:06:00+00:00 [queued]>
[2026-02-16T06:08:54.489+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:06:00+00:00 [queued]>
[2026-02-16T06:08:54.979+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-16T06:08:55.224+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-16 06:06:00+00:00
[2026-02-16T06:08:55.381+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=3495) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-16T06:08:55.431+0000] {standard_task_runner.py:64} INFO - Started process 3559 to run task
[2026-02-16T06:08:55.409+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-16T06:06:00+00:00', '--job-id', '1420', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpip4q8rwt']
[2026-02-16T06:08:55.455+0000] {standard_task_runner.py:91} INFO - Job 1420: Subtask download_minio
[2026-02-16T06:08:56.436+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:06:00+00:00 [running]> on host 353dfeb821e2
[2026-02-16T06:08:57.335+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-16T06:06:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-16T06:06:00+00:00'
[2026-02-16T06:08:57.344+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-16T06:09:03.142+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-16T06:09:03.240+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-16T06:09:03.292+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-16T06:09:03.350+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-16T06:09:03.445+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-16T06:09:03.485+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-16T06:09:03.505+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-16T06:09:03.550+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-16T06:09:03.605+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-16T06:09:03.664+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-16T06:09:03.706+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-16T06:09:03.734+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-16T06:09:03.786+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-16T06:09:03.831+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-16T06:09:03.974+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-16T06:09:04.031+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-16T06:09:04.095+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-16T06:09:04.167+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-16T06:09:04.217+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-16T06:09:04.292+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-16T06:09:04.343+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
[2026-02-16T06:09:04.420+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221698.json
[2026-02-16T06:09:04.497+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221709.json
[2026-02-16T06:09:04.567+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221720.json
[2026-02-16T06:09:04.655+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221733.json
