[2026-02-16T06:12:05.734+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-16T06:12:05.940+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:11:00+00:00 [queued]>
[2026-02-16T06:12:05.998+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:11:00+00:00 [queued]>
[2026-02-16T06:12:06.001+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-16T06:12:06.098+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-16 06:11:00+00:00
[2026-02-16T06:12:06.180+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=6636) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-16T06:12:06.191+0000] {standard_task_runner.py:64} INFO - Started process 6660 to run task
[2026-02-16T06:12:06.200+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-16T06:11:00+00:00', '--job-id', '1425', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp9u7fvib1']
[2026-02-16T06:12:06.221+0000] {standard_task_runner.py:91} INFO - Job 1425: Subtask download_minio
[2026-02-16T06:12:07.163+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:11:00+00:00 [running]> on host 353dfeb821e2
[2026-02-16T06:12:07.502+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-16T06:11:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-16T06:11:00+00:00'
[2026-02-16T06:12:07.507+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-16T06:12:08.023+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-16T06:12:08.043+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-16T06:12:08.063+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-16T06:12:08.081+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-16T06:12:08.099+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-16T06:12:08.118+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-16T06:12:08.139+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-16T06:12:08.158+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-16T06:12:08.181+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-16T06:12:08.202+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-16T06:12:08.221+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-16T06:12:08.241+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-16T06:12:08.261+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-16T06:12:08.280+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-16T06:12:08.298+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-16T06:12:08.336+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-16T06:12:08.406+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-16T06:12:08.434+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-16T06:12:08.459+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-16T06:12:08.501+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-16T06:12:08.526+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
[2026-02-16T06:12:08.563+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221698.json
[2026-02-16T06:12:08.592+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221709.json
[2026-02-16T06:12:08.630+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221720.json
[2026-02-16T06:12:08.659+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221733.json
[2026-02-16T06:12:08.687+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221744.json
[2026-02-16T06:12:08.722+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221757.json
[2026-02-16T06:12:08.750+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221768.json
[2026-02-16T06:12:08.772+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221779.json
[2026-02-16T06:12:08.806+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221792.json
[2026-02-16T06:12:08.834+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221807.json
[2026-02-16T06:12:08.871+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221820.json
[2026-02-16T06:12:08.907+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221831.json
[2026-02-16T06:12:08.954+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221843.json
[2026-02-16T06:12:08.998+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221858.json
[2026-02-16T06:12:09.038+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221871.json
[2026-02-16T06:12:09.074+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221883.json
[2026-02-16T06:12:09.126+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221895.json
[2026-02-16T06:12:09.166+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221906.json
[2026-02-16T06:12:09.197+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221918.json
[2026-02-16T06:12:09.237+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221930.json
[2026-02-16T06:12:09.283+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221941.json
[2026-02-16T06:12:09.319+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221953.json
[2026-02-16T06:12:09.354+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221965.json
[2026-02-16T06:12:09.384+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221976.json
[2026-02-16T06:12:09.405+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221988.json
[2026-02-16T06:12:09.430+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222104.json
[2026-02-16T06:12:09.465+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222116.json
[2026-02-16T06:12:09.490+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222127.json
[2026-02-16T06:12:09.515+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222139.json
[2026-02-16T06:12:09.675+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222151.json
[2026-02-16T06:12:09.715+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222164.json
