[2026-02-16T06:18:39.479+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-16T06:18:39.589+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:17:00+00:00 [queued]>
[2026-02-16T06:18:39.601+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:17:00+00:00 [queued]>
[2026-02-16T06:18:39.604+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-16T06:18:39.622+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-16 06:17:00+00:00
[2026-02-16T06:18:39.654+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=11013) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-16T06:18:39.658+0000] {standard_task_runner.py:64} INFO - Started process 11896 to run task
[2026-02-16T06:18:39.654+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-16T06:17:00+00:00', '--job-id', '1435', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpdwol2rx_']
[2026-02-16T06:18:39.660+0000] {standard_task_runner.py:91} INFO - Job 1435: Subtask download_minio
[2026-02-16T06:18:39.932+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:17:00+00:00 [running]> on host 353dfeb821e2
[2026-02-16T06:18:40.596+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-16T06:17:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-16T06:17:00+00:00'
[2026-02-16T06:18:40.600+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-16T06:18:43.254+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-16T06:18:43.281+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-16T06:18:43.317+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-16T06:18:43.351+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-16T06:18:43.382+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-16T06:18:43.410+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-16T06:18:43.435+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-16T06:18:43.468+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-16T06:18:43.508+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-16T06:18:43.543+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-16T06:18:43.583+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-16T06:18:43.615+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-16T06:18:43.645+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-16T06:18:43.671+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-16T06:18:43.713+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-16T06:18:43.748+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-16T06:18:43.781+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-16T06:18:43.830+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-16T06:18:43.864+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-16T06:18:43.902+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-16T06:18:43.941+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
[2026-02-16T06:18:43.970+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221698.json
[2026-02-16T06:18:44.002+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221709.json
[2026-02-16T06:18:44.029+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221720.json
[2026-02-16T06:18:44.051+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221733.json
[2026-02-16T06:18:44.079+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221744.json
[2026-02-16T06:18:44.109+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221757.json
[2026-02-16T06:18:44.138+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221768.json
[2026-02-16T06:18:44.167+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221779.json
[2026-02-16T06:18:44.214+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221792.json
[2026-02-16T06:18:44.244+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221807.json
[2026-02-16T06:18:44.282+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221820.json
[2026-02-16T06:18:44.321+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221831.json
[2026-02-16T06:18:44.357+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221843.json
[2026-02-16T06:18:44.386+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221858.json
[2026-02-16T06:18:44.415+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221871.json
[2026-02-16T06:18:44.453+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221883.json
[2026-02-16T06:18:44.524+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221895.json
[2026-02-16T06:18:44.650+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221906.json
[2026-02-16T06:18:44.736+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221918.json
[2026-02-16T06:18:44.856+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221930.json
[2026-02-16T06:18:44.903+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221941.json
[2026-02-16T06:18:45.030+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221953.json
[2026-02-16T06:18:45.093+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221965.json
[2026-02-16T06:18:45.145+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221976.json
[2026-02-16T06:18:45.188+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221988.json
[2026-02-16T06:18:45.224+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222104.json
[2026-02-16T06:18:45.270+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222116.json
[2026-02-16T06:18:45.308+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222127.json
[2026-02-16T06:18:45.346+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222139.json
[2026-02-16T06:18:45.384+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222151.json
[2026-02-16T06:18:45.420+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222164.json
[2026-02-16T06:18:45.450+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222205.json
[2026-02-16T06:18:45.481+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222217.json
[2026-02-16T06:18:45.509+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222230.json
[2026-02-16T06:18:45.541+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222241.json
