[2026-02-16T06:30:44.883+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-16T06:30:45.096+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:29:00+00:00 [queued]>
[2026-02-16T06:30:45.126+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:29:00+00:00 [queued]>
[2026-02-16T06:30:45.128+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-16T06:30:45.166+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-16 06:29:00+00:00
[2026-02-16T06:30:45.205+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=13814) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-16T06:30:45.215+0000] {standard_task_runner.py:64} INFO - Started process 13821 to run task
[2026-02-16T06:30:45.207+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-16T06:29:00+00:00', '--job-id', '1444', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpgcwkp61i']
[2026-02-16T06:30:45.225+0000] {standard_task_runner.py:91} INFO - Job 1444: Subtask download_minio
[2026-02-16T06:30:45.794+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:29:00+00:00 [running]> on host 353dfeb821e2
[2026-02-16T06:30:46.382+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-16T06:29:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-16T06:29:00+00:00'
[2026-02-16T06:30:46.390+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-16T06:30:49.825+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-16T06:30:49.840+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-16T06:30:49.856+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-16T06:30:49.868+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-16T06:30:49.881+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-16T06:30:49.894+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-16T06:30:49.909+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-16T06:30:49.922+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-16T06:30:49.933+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-16T06:30:49.945+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-16T06:30:49.958+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-16T06:30:49.970+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-16T06:30:49.991+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-16T06:30:50.003+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-16T06:30:50.018+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-16T06:30:50.033+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-16T06:30:50.045+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-16T06:30:50.057+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-16T06:30:50.073+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-16T06:30:50.087+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-16T06:30:50.101+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
[2026-02-16T06:30:50.115+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221698.json
[2026-02-16T06:30:50.133+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221709.json
[2026-02-16T06:30:50.146+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221720.json
[2026-02-16T06:30:50.159+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221733.json
[2026-02-16T06:30:50.171+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221744.json
[2026-02-16T06:30:50.185+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221757.json
[2026-02-16T06:30:50.197+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221768.json
[2026-02-16T06:30:50.210+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221779.json
[2026-02-16T06:30:50.224+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221792.json
[2026-02-16T06:30:50.240+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221807.json
[2026-02-16T06:30:50.253+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221820.json
[2026-02-16T06:30:50.269+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221831.json
[2026-02-16T06:30:50.288+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221843.json
[2026-02-16T06:30:50.304+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221858.json
[2026-02-16T06:30:50.320+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221871.json
[2026-02-16T06:30:50.339+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221883.json
[2026-02-16T06:30:50.395+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221895.json
[2026-02-16T06:30:50.417+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221906.json
[2026-02-16T06:30:50.439+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221918.json
[2026-02-16T06:30:50.455+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221930.json
[2026-02-16T06:30:50.469+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221941.json
[2026-02-16T06:30:50.482+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221953.json
[2026-02-16T06:30:50.498+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221965.json
[2026-02-16T06:30:50.514+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221976.json
[2026-02-16T06:30:50.539+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221988.json
[2026-02-16T06:30:50.559+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222104.json
[2026-02-16T06:30:50.577+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222116.json
[2026-02-16T06:30:50.592+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222127.json
[2026-02-16T06:30:50.609+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222139.json
[2026-02-16T06:30:50.627+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222151.json
[2026-02-16T06:30:50.643+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222164.json
[2026-02-16T06:30:50.661+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222205.json
[2026-02-16T06:30:50.678+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222217.json
[2026-02-16T06:30:50.695+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222230.json
[2026-02-16T06:30:50.716+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222241.json
[2026-02-16T06:30:50.739+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222252.json
[2026-02-16T06:30:50.780+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222263.json
[2026-02-16T06:30:50.799+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222275.json
[2026-02-16T06:30:50.827+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222286.json
[2026-02-16T06:30:50.848+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222298.json
[2026-02-16T06:30:50.864+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222309.json
[2026-02-16T06:30:50.881+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222320.json
[2026-02-16T06:30:50.897+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222331.json
[2026-02-16T06:30:50.910+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222344.json
[2026-02-16T06:30:50.925+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222355.json
[2026-02-16T06:30:50.937+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222367.json
[2026-02-16T06:30:50.948+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222377.json
[2026-02-16T06:30:50.960+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222388.json
[2026-02-16T06:30:50.971+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222400.json
[2026-02-16T06:30:50.984+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222412.json
[2026-02-16T06:30:50.999+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222451.json
[2026-02-16T06:30:51.012+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222463.json
[2026-02-16T06:30:51.026+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222476.json
[2026-02-16T06:30:51.038+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222487.json
[2026-02-16T06:30:51.049+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222532.json
[2026-02-16T06:30:51.060+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222545.json
[2026-02-16T06:30:51.074+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222557.json
[2026-02-16T06:30:51.106+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222569.json
[2026-02-16T06:30:51.127+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222581.json
[2026-02-16T06:30:51.147+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222592.json
[2026-02-16T06:30:51.167+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222604.json
[2026-02-16T06:30:51.188+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222617.json
[2026-02-16T06:30:51.209+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222630.json
[2026-02-16T06:30:51.228+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222645.json
[2026-02-16T06:30:51.254+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222694.json
[2026-02-16T06:30:51.279+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222710.json
[2026-02-16T06:30:51.300+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222721.json
[2026-02-16T06:30:51.323+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222733.json
[2026-02-16T06:30:51.344+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222745.json
[2026-02-16T06:30:51.366+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222756.json
[2026-02-16T06:30:51.388+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222772.json
[2026-02-16T06:30:51.409+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222788.json
[2026-02-16T06:30:51.437+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222810.json
[2026-02-16T06:30:51.460+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222857.json
[2026-02-16T06:30:51.483+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222869.json
[2026-02-16T06:30:51.504+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222881.json
[2026-02-16T06:30:51.527+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222895.json
[2026-02-16T06:30:51.552+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222909.json
[2026-02-16T06:30:51.575+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222923.json
[2026-02-16T06:30:51.595+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222935.json
[2026-02-16T06:30:51.617+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222953.json
[2026-02-16T06:30:51.641+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222968.json
[2026-02-16T06:30:51.662+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222979.json
[2026-02-16T06:30:51.686+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222989.json
[2026-02-16T06:30:51.711+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223000.json
[2026-02-16T06:30:51.757+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223010.json
[2026-02-16T06:30:51.799+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223021.json
[2026-02-16T06:30:51.905+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223032.json
[2026-02-16T06:30:51.921+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223044.json
[2026-02-16T06:30:51.936+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223058.json
[2026-02-16T06:30:51.966+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223068.json
[2026-02-16T06:30:51.984+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223290.json
[2026-02-16T06:30:51.998+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223381.json
[2026-02-16T06:30:52.011+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223394.json
[2026-02-16T06:30:52.024+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223405.json
[2026-02-16T06:30:52.038+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223417.json
[2026-02-16T06:30:52.050+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223429.json
[2026-02-16T06:30:52.062+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223439.json
[2026-02-16T06:30:52.074+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221451.json
[2026-02-16T06:30:52.087+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221463.json
[2026-02-16T06:30:52.099+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221476.json
[2026-02-16T06:30:52.110+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221489.json
[2026-02-16T06:30:52.123+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221501.json
[2026-02-16T06:30:52.134+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221513.json
[2026-02-16T06:30:52.146+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221526.json
[2026-02-16T06:30:52.157+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221538.json
[2026-02-16T06:30:52.169+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221550.json
[2026-02-16T06:30:52.181+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221561.json
[2026-02-16T06:30:52.205+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221573.json
[2026-02-16T06:30:52.227+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221585.json
[2026-02-16T06:30:52.253+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221596.json
[2026-02-16T06:30:52.274+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221608.json
[2026-02-16T06:30:52.297+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221620.json
[2026-02-16T06:30:52.322+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221631.json
[2026-02-16T06:30:52.342+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221643.json
[2026-02-16T06:30:52.367+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221654.json
[2026-02-16T06:30:52.391+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221666.json
[2026-02-16T06:30:52.416+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221678.json
[2026-02-16T06:30:52.439+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221690.json
[2026-02-16T06:30:52.460+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221702.json
[2026-02-16T06:30:52.478+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221713.json
[2026-02-16T06:30:52.496+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221726.json
[2026-02-16T06:30:52.510+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221737.json
[2026-02-16T06:30:52.524+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221750.json
[2026-02-16T06:30:52.537+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221761.json
[2026-02-16T06:30:52.555+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221772.json
[2026-02-16T06:30:52.568+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221784.json
[2026-02-16T06:30:52.587+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221800.json
[2026-02-16T06:30:52.611+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221812.json
[2026-02-16T06:30:52.631+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221824.json
[2026-02-16T06:30:52.648+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221836.json
[2026-02-16T06:30:52.664+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771221851.json
