[2026-02-16T06:31:06.422+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-16T06:31:06.541+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:30:00+00:00 [queued]>
[2026-02-16T06:31:06.568+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:30:00+00:00 [queued]>
[2026-02-16T06:31:06.571+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-16T06:31:06.617+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-16 06:30:00+00:00
[2026-02-16T06:31:06.651+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-16T06:30:00+00:00', '--job-id', '1446', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpyezbzx8q']
[2026-02-16T06:31:06.676+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=14986) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-16T06:31:06.694+0000] {standard_task_runner.py:91} INFO - Job 1446: Subtask download_minio
[2026-02-16T06:31:06.696+0000] {standard_task_runner.py:64} INFO - Started process 15050 to run task
[2026-02-16T06:31:07.234+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:30:00+00:00 [running]> on host 353dfeb821e2
[2026-02-16T06:31:07.700+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-16T06:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-16T06:30:00+00:00'
[2026-02-16T06:31:07.710+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-16T06:31:09.496+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-16T06:31:09.532+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-16T06:31:09.559+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-16T06:31:09.586+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-16T06:31:09.629+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-16T06:31:09.665+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-16T06:31:09.696+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-16T06:31:09.722+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-16T06:31:09.744+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-16T06:31:09.770+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-16T06:31:09.799+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-16T06:31:09.826+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-16T06:31:09.852+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-16T06:31:09.879+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-16T06:31:09.914+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-16T06:31:09.940+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-16T06:31:09.972+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-16T06:31:10.006+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-16T06:31:10.036+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-16T06:31:10.063+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-16T06:31:10.093+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
[2026-02-16T06:31:10.123+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221698.json
[2026-02-16T06:31:10.158+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221709.json
[2026-02-16T06:31:10.193+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221720.json
[2026-02-16T06:31:10.217+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221733.json
[2026-02-16T06:31:10.244+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221744.json
[2026-02-16T06:31:10.268+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221757.json
[2026-02-16T06:31:10.293+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221768.json
[2026-02-16T06:31:10.321+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221779.json
[2026-02-16T06:31:10.348+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221792.json
[2026-02-16T06:31:10.378+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221807.json
[2026-02-16T06:31:10.413+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221820.json
[2026-02-16T06:31:10.472+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221831.json
[2026-02-16T06:31:10.537+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221843.json
[2026-02-16T06:31:10.592+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221858.json
[2026-02-16T06:31:10.653+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221871.json
[2026-02-16T06:31:10.716+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221883.json
