[2026-02-16T06:42:39.508+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-16T06:42:42.136+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:41:00+00:00 [queued]>
[2026-02-16T06:42:42.204+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:41:00+00:00 [queued]>
[2026-02-16T06:42:42.234+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-16T06:42:42.481+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-16 06:41:00+00:00
[2026-02-16T06:42:42.778+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=23931) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-16T06:42:42.781+0000] {standard_task_runner.py:64} INFO - Started process 24075 to run task
[2026-02-16T06:42:42.778+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-16T06:41:00+00:00', '--job-id', '1456', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpvjqhimwm']
[2026-02-16T06:42:42.785+0000] {standard_task_runner.py:91} INFO - Job 1456: Subtask download_minio
[2026-02-16T06:42:43.367+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-16T06:41:00+00:00 [running]> on host 353dfeb821e2
[2026-02-16T06:42:44.619+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-16T06:41:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-16T06:41:00+00:00'
[2026-02-16T06:42:44.622+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-16T06:43:47.912+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-16T06:43:48.384+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-16T06:43:48.472+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-16T06:43:48.550+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-16T06:43:48.812+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-16T06:43:48.851+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-16T06:43:48.880+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-16T06:43:48.942+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-16T06:43:49.022+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-16T06:43:49.115+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-16T06:43:49.182+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-16T06:43:49.296+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-16T06:43:49.498+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-16T06:43:49.594+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-16T06:43:49.710+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-16T06:43:49.892+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-16T06:43:49.971+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-16T06:43:50.005+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-16T06:43:50.111+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-16T06:43:50.190+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-16T06:43:50.314+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
[2026-02-16T06:43:50.365+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221698.json
[2026-02-16T06:43:50.549+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221709.json
[2026-02-16T06:43:50.610+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221720.json
[2026-02-16T06:43:50.637+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221733.json
[2026-02-16T06:43:50.716+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221744.json
[2026-02-16T06:43:50.744+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221757.json
[2026-02-16T06:43:50.872+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221768.json
[2026-02-16T06:43:51.079+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221779.json
[2026-02-16T06:43:51.131+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221792.json
[2026-02-16T06:43:51.172+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221807.json
[2026-02-16T06:43:51.212+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221820.json
[2026-02-16T06:43:51.246+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221831.json
[2026-02-16T06:43:51.274+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221843.json
[2026-02-16T06:43:51.376+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221858.json
[2026-02-16T06:43:51.411+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221871.json
[2026-02-16T06:43:51.469+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221883.json
[2026-02-16T06:43:51.542+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221895.json
[2026-02-16T06:43:51.662+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221906.json
[2026-02-16T06:43:51.752+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221918.json
[2026-02-16T06:43:51.796+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221930.json
[2026-02-16T06:43:51.850+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221941.json
[2026-02-16T06:43:51.889+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221953.json
[2026-02-16T06:43:52.004+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221965.json
[2026-02-16T06:43:52.199+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221976.json
[2026-02-16T06:43:52.253+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221988.json
[2026-02-16T06:43:52.362+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222104.json
[2026-02-16T06:43:52.408+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222116.json
[2026-02-16T06:43:52.438+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222127.json
[2026-02-16T06:43:52.475+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222139.json
[2026-02-16T06:43:52.536+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222151.json
[2026-02-16T06:43:52.604+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222164.json
[2026-02-16T06:43:52.685+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222205.json
[2026-02-16T06:43:52.818+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222217.json
[2026-02-16T06:43:53.039+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222230.json
[2026-02-16T06:43:53.167+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222241.json
[2026-02-16T06:43:53.518+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222252.json
[2026-02-16T06:43:53.663+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222263.json
[2026-02-16T06:43:53.878+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222275.json
[2026-02-16T06:43:53.989+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222286.json
[2026-02-16T06:43:54.173+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222298.json
[2026-02-16T06:43:54.246+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222309.json
[2026-02-16T06:43:54.466+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222320.json
[2026-02-16T06:43:54.533+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222331.json
