[2026-02-17T06:02:48.051+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T06:02:48.102+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T05:50:00+00:00 [queued]>
[2026-02-17T06:02:48.113+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T05:50:00+00:00 [queued]>
[2026-02-17T06:02:48.115+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2026-02-17T06:02:48.133+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 05:50:00+00:00
[2026-02-17T06:02:48.155+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=9964) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T06:02:48.152+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T05:50:00+00:00', '--job-id', '1467', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpyn1n9cpc']
[2026-02-17T06:02:48.157+0000] {standard_task_runner.py:64} INFO - Started process 10042 to run task
[2026-02-17T06:02:48.158+0000] {standard_task_runner.py:91} INFO - Job 1467: Subtask download_minio
[2026-02-17T06:02:48.341+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T05:50:00+00:00 [running]> on host 353dfeb821e2
[2026-02-17T06:02:48.644+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T05:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T05:50:00+00:00'
[2026-02-17T06:02:48.652+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T06:02:51.775+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-17T06:02:51.787+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-17T06:02:51.797+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-17T06:02:51.809+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-17T06:02:51.819+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-17T06:02:51.831+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-17T06:02:51.841+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-17T06:02:51.851+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-17T06:02:51.862+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-17T06:02:51.872+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-17T06:02:51.882+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-17T06:02:51.892+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-17T06:02:51.905+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-17T06:02:51.918+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-17T06:02:51.930+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-17T06:02:51.946+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-17T06:02:51.959+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-17T06:02:51.971+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-17T06:02:51.982+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-17T06:02:51.993+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-17T06:02:52.006+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
