[2026-02-17T06:05:05.617+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T06:05:05.934+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:00:00+00:00 [queued]>
[2026-02-17T06:05:05.955+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:00:00+00:00 [queued]>
[2026-02-17T06:05:05.962+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T06:05:05.999+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 06:00:00+00:00
[2026-02-17T06:05:06.027+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T06:00:00+00:00', '--job-id', '1469', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpc69ha6mz']
[2026-02-17T06:05:06.032+0000] {standard_task_runner.py:91} INFO - Job 1469: Subtask download_minio
[2026-02-17T06:05:06.062+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=18291) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T06:05:06.064+0000] {standard_task_runner.py:64} INFO - Started process 18358 to run task
[2026-02-17T06:05:06.262+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:00:00+00:00 [running]> on host 353dfeb821e2
[2026-02-17T06:05:06.594+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T06:00:00+00:00'
[2026-02-17T06:05:06.596+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T06:05:10.598+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-17T06:05:10.607+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-17T06:05:10.630+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-17T06:05:10.654+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-17T06:05:10.672+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-17T06:05:10.691+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-17T06:05:10.711+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-17T06:05:10.730+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-17T06:05:10.748+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-17T06:05:10.767+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-17T06:05:10.788+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-17T06:05:10.806+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-17T06:05:10.826+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-17T06:05:10.845+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-17T06:05:10.865+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-17T06:05:10.884+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-17T06:05:10.902+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-17T06:05:10.919+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-17T06:05:10.940+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-17T06:05:10.961+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-17T06:05:10.981+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
[2026-02-17T06:05:11.000+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221698.json
[2026-02-17T06:05:11.018+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221709.json
[2026-02-17T06:05:11.035+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221720.json
[2026-02-17T06:05:11.057+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221733.json
[2026-02-17T06:05:11.083+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221744.json
[2026-02-17T06:05:11.110+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221757.json
[2026-02-17T06:05:11.132+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221768.json
[2026-02-17T06:05:11.155+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221779.json
[2026-02-17T06:05:11.173+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221792.json
[2026-02-17T06:05:11.186+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221807.json
[2026-02-17T06:05:11.200+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221820.json
[2026-02-17T06:05:11.212+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221831.json
[2026-02-17T06:05:11.224+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221843.json
[2026-02-17T06:05:11.236+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221858.json
[2026-02-17T06:05:11.249+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221871.json
[2026-02-17T06:05:11.264+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221883.json
[2026-02-17T06:05:11.278+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221895.json
[2026-02-17T06:05:11.292+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221906.json
[2026-02-17T06:05:11.305+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221918.json
[2026-02-17T06:05:11.317+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221930.json
[2026-02-17T06:05:11.330+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221941.json
[2026-02-17T06:05:11.342+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221953.json
[2026-02-17T06:05:11.354+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221965.json
[2026-02-17T06:05:11.368+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221976.json
[2026-02-17T06:05:11.381+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221988.json
[2026-02-17T06:05:11.393+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222104.json
[2026-02-17T06:05:11.406+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222116.json
[2026-02-17T06:05:11.419+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222127.json
[2026-02-17T06:05:11.431+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222139.json
[2026-02-17T06:05:11.446+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222151.json
[2026-02-17T06:05:11.458+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222164.json
[2026-02-17T06:05:11.471+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222205.json
[2026-02-17T06:05:11.483+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222217.json
[2026-02-17T06:05:11.499+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222230.json
[2026-02-17T06:05:11.511+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222241.json
[2026-02-17T06:05:11.524+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222252.json
[2026-02-17T06:05:11.538+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222263.json
[2026-02-17T06:05:11.550+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222275.json
[2026-02-17T06:05:11.578+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222286.json
[2026-02-17T06:05:11.621+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222298.json
[2026-02-17T06:05:11.654+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222309.json
[2026-02-17T06:05:11.674+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222320.json
[2026-02-17T06:05:11.690+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222331.json
[2026-02-17T06:05:11.702+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222344.json
[2026-02-17T06:05:11.729+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222355.json
[2026-02-17T06:05:11.743+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222367.json
[2026-02-17T06:05:11.755+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222377.json
[2026-02-17T06:05:11.767+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222388.json
[2026-02-17T06:05:11.777+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222400.json
[2026-02-17T06:05:11.790+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222412.json
[2026-02-17T06:05:11.802+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222451.json
[2026-02-17T06:05:11.814+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222463.json
[2026-02-17T06:05:11.827+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222476.json
[2026-02-17T06:05:11.838+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222487.json
[2026-02-17T06:05:11.850+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222532.json
[2026-02-17T06:05:11.862+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222545.json
[2026-02-17T06:05:11.873+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222557.json
[2026-02-17T06:05:11.884+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222569.json
[2026-02-17T06:05:11.895+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222581.json
[2026-02-17T06:05:11.906+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222592.json
[2026-02-17T06:05:11.917+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222604.json
[2026-02-17T06:05:11.927+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222617.json
[2026-02-17T06:05:11.938+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222630.json
[2026-02-17T06:05:11.949+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222645.json
[2026-02-17T06:05:11.962+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222694.json
[2026-02-17T06:05:11.973+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222710.json
[2026-02-17T06:05:11.987+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222721.json
[2026-02-17T06:05:12.015+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222733.json
[2026-02-17T06:05:12.030+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222745.json
[2026-02-17T06:05:12.042+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222756.json
[2026-02-17T06:05:12.052+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222772.json
[2026-02-17T06:05:12.064+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222788.json
[2026-02-17T06:05:12.075+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222810.json
[2026-02-17T06:05:12.085+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222857.json
[2026-02-17T06:05:12.097+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222869.json
[2026-02-17T06:05:12.108+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222881.json
[2026-02-17T06:05:12.118+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222895.json
[2026-02-17T06:05:12.129+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222909.json
[2026-02-17T06:05:12.142+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222923.json
[2026-02-17T06:05:12.155+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222935.json
[2026-02-17T06:05:12.170+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222953.json
[2026-02-17T06:05:12.184+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222968.json
[2026-02-17T06:05:12.194+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222979.json
[2026-02-17T06:05:12.205+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222989.json
[2026-02-17T06:05:12.215+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223000.json
[2026-02-17T06:05:12.226+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223010.json
[2026-02-17T06:05:12.237+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223021.json
[2026-02-17T06:05:12.248+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223032.json
[2026-02-17T06:05:12.259+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223044.json
[2026-02-17T06:05:12.270+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223058.json
[2026-02-17T06:05:12.295+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223068.json
[2026-02-17T06:05:12.328+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223290.json
[2026-02-17T06:05:12.357+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223381.json
[2026-02-17T06:05:12.385+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223394.json
[2026-02-17T06:05:12.413+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223405.json
[2026-02-17T06:05:12.440+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223417.json
[2026-02-17T06:05:12.470+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223429.json
[2026-02-17T06:05:12.500+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223439.json
[2026-02-17T06:05:12.528+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223449.json
[2026-02-17T06:05:12.553+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223460.json
[2026-02-17T06:05:12.580+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223471.json
[2026-02-17T06:05:12.607+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223484.json
[2026-02-17T06:05:12.642+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223494.json
[2026-02-17T06:05:12.672+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771223505.json
