[2026-02-17T06:10:03.079+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T06:10:03.143+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:05:00+00:00 [queued]>
[2026-02-17T06:10:03.156+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:05:00+00:00 [queued]>
[2026-02-17T06:10:03.158+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T06:10:03.181+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 06:05:00+00:00
[2026-02-17T06:10:03.208+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T06:05:00+00:00', '--job-id', '1471', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp3yr5b4kn']
[2026-02-17T06:10:03.211+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=27424) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T06:10:03.215+0000] {standard_task_runner.py:91} INFO - Job 1471: Subtask download_minio
[2026-02-17T06:10:03.216+0000] {standard_task_runner.py:64} INFO - Started process 27450 to run task
[2026-02-17T06:10:03.399+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:05:00+00:00 [running]> on host 353dfeb821e2
[2026-02-17T06:10:03.578+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T06:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T06:05:00+00:00'
[2026-02-17T06:10:03.580+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T06:10:04.539+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-17T06:10:04.558+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-17T06:10:04.580+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-17T06:10:04.594+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-17T06:10:04.610+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-17T06:10:04.633+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-17T06:10:04.646+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-17T06:10:04.659+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-17T06:10:04.669+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-17T06:10:04.680+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-17T06:10:04.693+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-17T06:10:04.706+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-17T06:10:04.721+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-17T06:10:04.736+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-17T06:10:04.750+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-17T06:10:04.780+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-17T06:10:04.794+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-17T06:10:04.824+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-17T06:10:04.840+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-17T06:10:04.875+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-17T06:10:04.907+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
