[2026-02-17T06:15:05.953+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T06:15:06.059+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:10:00+00:00 [queued]>
[2026-02-17T06:15:06.077+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:10:00+00:00 [queued]>
[2026-02-17T06:15:06.079+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T06:15:06.115+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 06:10:00+00:00
[2026-02-17T06:15:06.148+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T06:10:00+00:00', '--job-id', '1473', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpjfvvxm6e']
[2026-02-17T06:15:06.156+0000] {standard_task_runner.py:91} INFO - Job 1473: Subtask download_minio
[2026-02-17T06:15:06.155+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=37264) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T06:15:06.160+0000] {standard_task_runner.py:64} INFO - Started process 37330 to run task
[2026-02-17T06:15:06.397+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:10:00+00:00 [running]> on host 353dfeb821e2
[2026-02-17T06:15:07.174+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T06:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T06:10:00+00:00'
[2026-02-17T06:15:07.176+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T06:15:11.472+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-17T06:15:11.490+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-17T06:15:11.513+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-17T06:15:11.550+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-17T06:15:11.587+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-17T06:15:11.626+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-17T06:15:11.676+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-17T06:15:11.723+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-17T06:15:11.749+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-17T06:15:11.780+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-17T06:15:11.809+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-17T06:15:11.822+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-17T06:15:11.855+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-17T06:15:11.870+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-17T06:15:11.897+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-17T06:15:11.913+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-17T06:15:11.935+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-17T06:15:11.952+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-17T06:15:11.965+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-17T06:15:11.979+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-17T06:15:11.993+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
