[2026-02-17T06:30:03.146+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T06:30:03.254+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:25:00+00:00 [queued]>
[2026-02-17T06:30:03.265+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:25:00+00:00 [queued]>
[2026-02-17T06:30:03.266+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T06:30:03.282+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 06:25:00+00:00
[2026-02-17T06:30:03.298+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T06:25:00+00:00', '--job-id', '1477', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmprrv6rx5q']
[2026-02-17T06:30:03.302+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=62904) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T06:30:03.303+0000] {standard_task_runner.py:91} INFO - Job 1477: Subtask download_minio
[2026-02-17T06:30:03.303+0000] {standard_task_runner.py:64} INFO - Started process 62949 to run task
[2026-02-17T06:30:03.423+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:25:00+00:00 [running]> on host 353dfeb821e2
[2026-02-17T06:30:03.586+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T06:25:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T06:25:00+00:00'
[2026-02-17T06:30:03.588+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T06:30:07.372+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-17T06:30:07.384+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-17T06:30:07.395+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-17T06:30:07.456+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-17T06:30:07.499+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-17T06:30:07.514+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-17T06:30:07.525+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-17T06:30:07.536+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-17T06:30:07.546+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-17T06:30:07.555+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-17T06:30:07.566+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-17T06:30:07.575+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-17T06:30:07.588+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-17T06:30:07.600+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-17T06:30:07.610+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-17T06:30:07.621+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-17T06:30:07.631+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-17T06:30:07.656+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-17T06:30:07.668+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-17T06:30:07.682+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-17T06:30:07.694+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
[2026-02-17T06:30:07.707+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221698.json
[2026-02-17T06:30:07.722+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221709.json
[2026-02-17T06:30:07.741+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221720.json
[2026-02-17T06:30:07.752+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221733.json
[2026-02-17T06:30:07.762+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221744.json
[2026-02-17T06:30:07.774+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221757.json
[2026-02-17T06:30:07.788+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221768.json
[2026-02-17T06:30:07.801+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221779.json
[2026-02-17T06:30:07.811+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221792.json
[2026-02-17T06:30:07.821+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221807.json
[2026-02-17T06:30:07.832+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221820.json
[2026-02-17T06:30:07.843+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221831.json
[2026-02-17T06:30:07.856+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221843.json
[2026-02-17T06:30:07.867+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221858.json
[2026-02-17T06:30:07.879+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221871.json
[2026-02-17T06:30:07.890+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221883.json
[2026-02-17T06:30:07.900+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221895.json
[2026-02-17T06:30:07.912+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221906.json
[2026-02-17T06:30:07.925+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221918.json
[2026-02-17T06:30:07.941+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221930.json
[2026-02-17T06:30:07.958+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221941.json
[2026-02-17T06:30:07.986+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221953.json
[2026-02-17T06:30:08.004+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221965.json
[2026-02-17T06:30:08.022+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221976.json
[2026-02-17T06:30:08.036+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221988.json
[2026-02-17T06:30:08.047+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222104.json
[2026-02-17T06:30:08.060+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222116.json
[2026-02-17T06:30:08.074+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222127.json
[2026-02-17T06:30:08.108+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222139.json
[2026-02-17T06:30:08.150+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222151.json
[2026-02-17T06:30:08.172+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222164.json
[2026-02-17T06:30:08.203+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222205.json
[2026-02-17T06:30:08.230+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222217.json
[2026-02-17T06:30:08.271+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222230.json
[2026-02-17T06:30:08.303+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222241.json
[2026-02-17T06:30:08.357+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222252.json
[2026-02-17T06:30:08.415+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222263.json
[2026-02-17T06:30:08.453+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222275.json
[2026-02-17T06:30:08.484+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222286.json
[2026-02-17T06:30:08.518+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222298.json
[2026-02-17T06:30:08.547+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222309.json
[2026-02-17T06:30:08.569+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222320.json
[2026-02-17T06:30:08.593+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222331.json
[2026-02-17T06:30:08.620+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222344.json
[2026-02-17T06:30:08.645+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222355.json
[2026-02-17T06:30:08.670+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222367.json
[2026-02-17T06:30:08.695+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222377.json
[2026-02-17T06:30:08.719+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222388.json
[2026-02-17T06:30:08.743+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222400.json
[2026-02-17T06:30:08.776+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222412.json
[2026-02-17T06:30:08.804+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222451.json
[2026-02-17T06:30:08.837+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222463.json
[2026-02-17T06:30:08.869+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222476.json
[2026-02-17T06:30:08.899+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222487.json
[2026-02-17T06:30:08.927+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222532.json
[2026-02-17T06:30:08.956+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222545.json
[2026-02-17T06:30:08.984+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222557.json
[2026-02-17T06:30:09.011+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222569.json
[2026-02-17T06:30:09.035+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222581.json
[2026-02-17T06:30:09.060+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222592.json
[2026-02-17T06:30:09.084+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222604.json
[2026-02-17T06:30:09.105+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222617.json
[2026-02-17T06:30:09.127+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222630.json
[2026-02-17T06:30:09.150+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222645.json
[2026-02-17T06:30:09.174+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222694.json
[2026-02-17T06:30:09.194+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222710.json
[2026-02-17T06:30:09.218+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222721.json
[2026-02-17T06:30:09.245+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222733.json
[2026-02-17T06:30:09.270+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222745.json
[2026-02-17T06:30:09.296+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222756.json
[2026-02-17T06:30:09.325+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222772.json
[2026-02-17T06:30:09.359+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222788.json
[2026-02-17T06:30:09.380+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222810.json
[2026-02-17T06:30:09.406+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222857.json
[2026-02-17T06:30:09.433+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222869.json
[2026-02-17T06:30:09.454+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222881.json
[2026-02-17T06:30:09.479+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222895.json
[2026-02-17T06:30:09.506+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222909.json
[2026-02-17T06:30:09.529+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222923.json
