[2026-02-17T06:55:13.124+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T06:55:13.423+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:50:00+00:00 [queued]>
[2026-02-17T06:55:13.478+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:50:00+00:00 [queued]>
[2026-02-17T06:55:13.481+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T06:55:13.535+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 06:50:00+00:00
[2026-02-17T06:55:13.578+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T06:50:00+00:00', '--job-id', '1486', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpcpfxxvxa']
[2026-02-17T06:55:13.596+0000] {standard_task_runner.py:91} INFO - Job 1486: Subtask download_minio
[2026-02-17T06:55:13.601+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=15539) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T06:55:13.608+0000] {standard_task_runner.py:64} INFO - Started process 16314 to run task
[2026-02-17T06:55:13.985+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:50:00+00:00 [running]> on host 353dfeb821e2
[2026-02-17T06:55:14.472+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T06:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T06:50:00+00:00'
[2026-02-17T06:55:14.476+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T06:55:23.140+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-17T06:55:23.206+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-17T06:55:23.283+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-17T06:55:23.380+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-17T06:55:23.443+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-17T06:55:23.560+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-17T06:55:23.680+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-17T06:55:23.731+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-17T06:55:23.828+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-17T06:55:23.900+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-17T06:55:23.943+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-17T06:55:23.996+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-17T06:55:24.071+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-17T06:55:24.131+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-17T06:55:24.174+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-17T06:55:24.290+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-17T06:55:24.342+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-17T06:55:24.413+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-17T06:55:24.505+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-17T06:55:24.586+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-17T06:55:24.642+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
[2026-02-17T06:55:24.708+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221698.json
[2026-02-17T06:55:24.752+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221709.json
[2026-02-17T06:55:24.792+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221720.json
[2026-02-17T06:55:24.864+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221733.json
[2026-02-17T06:55:24.916+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221744.json
