[2026-02-17T07:00:36.852+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T07:00:38.151+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:55:00+00:00 [queued]>
[2026-02-17T07:00:38.219+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:55:00+00:00 [queued]>
[2026-02-17T07:00:38.228+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T07:00:38.357+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 06:55:00+00:00
[2026-02-17T07:00:38.476+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T06:55:00+00:00', '--job-id', '1487', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp744_69jv']
[2026-02-17T07:00:38.488+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=27011) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T07:00:38.490+0000] {standard_task_runner.py:91} INFO - Job 1487: Subtask download_minio
[2026-02-17T07:00:38.491+0000] {standard_task_runner.py:64} INFO - Started process 28254 to run task
[2026-02-17T07:00:39.266+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T06:55:00+00:00 [running]> on host 353dfeb821e2
[2026-02-17T07:00:40.129+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T06:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T06:55:00+00:00'
[2026-02-17T07:00:40.136+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T07:00:48.732+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-17T07:00:48.759+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-17T07:00:48.785+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-17T07:00:48.809+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-17T07:00:48.834+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-17T07:00:48.871+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-17T07:00:48.901+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-17T07:00:48.936+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-17T07:00:48.966+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-17T07:00:48.992+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-17T07:00:49.031+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-17T07:00:49.060+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-17T07:00:49.093+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-17T07:00:49.126+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-17T07:00:49.163+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-17T07:00:49.195+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-17T07:00:49.229+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-17T07:00:49.268+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-17T07:00:49.304+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-17T07:00:49.343+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-17T07:00:49.366+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
[2026-02-17T07:00:49.395+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221698.json
[2026-02-17T07:00:49.427+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221709.json
[2026-02-17T07:00:49.472+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221720.json
[2026-02-17T07:00:49.534+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221733.json
[2026-02-17T07:00:49.560+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221744.json
[2026-02-17T07:00:49.587+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221757.json
[2026-02-17T07:00:49.613+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221768.json
[2026-02-17T07:00:49.643+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221779.json
[2026-02-17T07:00:49.684+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221792.json
[2026-02-17T07:00:49.711+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221807.json
[2026-02-17T07:00:49.742+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221820.json
[2026-02-17T07:00:49.773+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221831.json
[2026-02-17T07:00:49.803+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221843.json
[2026-02-17T07:00:49.833+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221858.json
[2026-02-17T07:00:49.872+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221871.json
[2026-02-17T07:00:49.904+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221883.json
[2026-02-17T07:00:49.926+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221895.json
[2026-02-17T07:00:49.951+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221906.json
[2026-02-17T07:00:49.974+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221918.json
[2026-02-17T07:00:50.000+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221930.json
[2026-02-17T07:00:50.033+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221941.json
[2026-02-17T07:00:50.073+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221953.json
[2026-02-17T07:00:50.096+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221965.json
[2026-02-17T07:00:50.122+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221976.json
[2026-02-17T07:00:50.162+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221988.json
[2026-02-17T07:00:50.215+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771222104.json
