[2026-02-17T08:01:26.962+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T08:01:27.072+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T07:50:00+00:00 [queued]>
[2026-02-17T08:01:27.101+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T07:50:00+00:00 [queued]>
[2026-02-17T08:01:27.106+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2026-02-17T08:01:27.139+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 07:50:00+00:00
[2026-02-17T08:01:27.195+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T07:50:00+00:00', '--job-id', '1505', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpy4wvbk6b']
[2026-02-17T08:01:27.269+0000] {standard_task_runner.py:91} INFO - Job 1505: Subtask download_minio
[2026-02-17T08:01:27.278+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=250) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T08:01:27.281+0000] {standard_task_runner.py:64} INFO - Started process 257 to run task
[2026-02-17T08:01:27.808+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T07:50:00+00:00 [running]> on host 2a72b80a66a9
[2026-02-17T08:01:28.135+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T07:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T07:50:00+00:00'
[2026-02-17T08:01:28.137+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T08:01:29.143+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315083.json
[2026-02-17T08:01:29.166+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315095.json
[2026-02-17T08:01:29.181+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315106.json
[2026-02-17T08:01:29.196+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315117.json
[2026-02-17T08:01:29.219+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315128.json
[2026-02-17T08:01:29.235+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315140.json
[2026-02-17T08:01:29.251+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315152.json
[2026-02-17T08:01:29.277+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315163.json
[2026-02-17T08:01:29.292+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315174.json
[2026-02-17T08:01:29.312+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315186.json
[2026-02-17T08:01:29.328+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315197.json
[2026-02-17T08:01:29.340+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315209.json
[2026-02-17T08:01:29.355+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315221.json
[2026-02-17T08:01:29.368+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315232.json
[2026-02-17T08:01:29.381+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315243.json
[2026-02-17T08:01:29.392+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315255.json
[2026-02-17T08:01:29.409+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315267.json
[2026-02-17T08:01:29.426+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315279.json
[2026-02-17T08:01:29.445+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315088.json
[2026-02-17T08:01:29.458+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315099.json
[2026-02-17T08:01:29.474+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315110.json
[2026-02-17T08:01:29.491+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315121.json
[2026-02-17T08:01:29.509+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315133.json
[2026-02-17T08:01:29.525+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315145.json
[2026-02-17T08:01:29.541+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315156.json
[2026-02-17T08:01:29.560+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315167.json
[2026-02-17T08:01:29.581+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315178.json
[2026-02-17T08:01:29.600+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315190.json
[2026-02-17T08:01:29.618+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315202.json
[2026-02-17T08:01:29.631+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315213.json
[2026-02-17T08:01:29.647+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315225.json
[2026-02-17T08:01:29.662+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315236.json
[2026-02-17T08:01:29.676+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315247.json
[2026-02-17T08:01:29.690+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315259.json
[2026-02-17T08:01:29.709+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315271.json
[2026-02-17T08:01:29.725+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771315283.json
[2026-02-17T08:01:29.744+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315086.json
[2026-02-17T08:01:29.771+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315097.json
[2026-02-17T08:01:29.791+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315109.json
[2026-02-17T08:01:29.814+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315119.json
[2026-02-17T08:01:29.843+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315130.json
[2026-02-17T08:01:29.860+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315143.json
[2026-02-17T08:01:29.875+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315154.json
[2026-02-17T08:01:29.908+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315165.json
[2026-02-17T08:01:29.936+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315176.json
[2026-02-17T08:01:29.955+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315188.json
[2026-02-17T08:01:29.991+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315199.json
[2026-02-17T08:01:30.020+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315211.json
[2026-02-17T08:01:30.040+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315223.json
[2026-02-17T08:01:30.066+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315234.json
[2026-02-17T08:01:30.086+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315245.json
[2026-02-17T08:01:30.105+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315257.json
[2026-02-17T08:01:30.175+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315269.json
[2026-02-17T08:01:30.232+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1771315281.json
[2026-02-17T08:01:30.261+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315084.json
[2026-02-17T08:01:30.286+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315096.json
[2026-02-17T08:01:30.305+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315108.json
[2026-02-17T08:01:30.323+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315118.json
[2026-02-17T08:01:30.337+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315129.json
[2026-02-17T08:01:30.352+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315142.json
[2026-02-17T08:01:30.368+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315153.json
[2026-02-17T08:01:30.384+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315164.json
[2026-02-17T08:01:30.398+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315175.json
[2026-02-17T08:01:30.417+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315187.json
[2026-02-17T08:01:30.432+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315198.json
[2026-02-17T08:01:30.449+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315210.json
[2026-02-17T08:01:30.462+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315222.json
[2026-02-17T08:01:30.477+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315233.json
[2026-02-17T08:01:30.496+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315244.json
[2026-02-17T08:01:30.513+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315256.json
[2026-02-17T08:01:30.533+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315268.json
[2026-02-17T08:01:30.584+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1771315280.json
[2026-02-17T08:01:30.609+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315087.json
[2026-02-17T08:01:30.637+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315098.json
[2026-02-17T08:01:30.655+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315110.json
[2026-02-17T08:01:30.674+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315120.json
[2026-02-17T08:01:30.702+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315132.json
[2026-02-17T08:01:30.730+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315144.json
[2026-02-17T08:01:30.750+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315155.json
[2026-02-17T08:01:30.791+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315166.json
[2026-02-17T08:01:30.807+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315178.json
[2026-02-17T08:01:30.838+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315189.json
[2026-02-17T08:01:30.866+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315201.json
[2026-02-17T08:01:30.886+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315212.json
[2026-02-17T08:01:30.906+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315224.json
[2026-02-17T08:01:30.932+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315235.json
[2026-02-17T08:01:30.955+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315246.json
[2026-02-17T08:01:30.968+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315258.json
[2026-02-17T08:01:30.987+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315270.json
[2026-02-17T08:01:31.000+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1771315282.json
