[2026-02-17T08:05:11.868+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T08:05:11.920+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T07:55:00+00:00 [queued]>
[2026-02-17T08:05:11.934+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T07:55:00+00:00 [queued]>
[2026-02-17T08:05:11.935+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2026-02-17T08:05:11.956+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 07:55:00+00:00
[2026-02-17T08:05:11.973+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T07:55:00+00:00', '--job-id', '1509', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp932u62pg']
[2026-02-17T08:05:11.978+0000] {standard_task_runner.py:91} INFO - Job 1509: Subtask download_minio
[2026-02-17T08:05:11.978+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1136) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T08:05:11.980+0000] {standard_task_runner.py:64} INFO - Started process 1381 to run task
[2026-02-17T08:05:12.107+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T07:55:00+00:00 [running]> on host 2a72b80a66a9
[2026-02-17T08:05:12.326+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T07:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T07:55:00+00:00'
[2026-02-17T08:05:12.328+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T08:05:12.688+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315083.json
[2026-02-17T08:05:12.698+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315095.json
[2026-02-17T08:05:12.710+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315106.json
[2026-02-17T08:05:12.721+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315117.json
[2026-02-17T08:05:12.732+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315128.json
[2026-02-17T08:05:12.742+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315140.json
[2026-02-17T08:05:12.774+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315152.json
[2026-02-17T08:05:12.795+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315163.json
[2026-02-17T08:05:12.819+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315174.json
[2026-02-17T08:05:12.844+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315186.json
[2026-02-17T08:05:12.863+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315197.json
[2026-02-17T08:05:12.885+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315209.json
[2026-02-17T08:05:12.910+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315221.json
[2026-02-17T08:05:12.933+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315232.json
[2026-02-17T08:05:12.952+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315243.json
[2026-02-17T08:05:12.970+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315255.json
[2026-02-17T08:05:12.986+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315267.json
[2026-02-17T08:05:12.998+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315279.json
[2026-02-17T08:05:13.011+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315291.json
[2026-02-17T08:05:13.025+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315301.json
[2026-02-17T08:05:13.038+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315311.json
[2026-02-17T08:05:13.052+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315323.json
[2026-02-17T08:05:13.063+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315334.json
[2026-02-17T08:05:13.076+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315346.json
[2026-02-17T08:05:13.090+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315356.json
[2026-02-17T08:05:13.116+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315367.json
[2026-02-17T08:05:13.139+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315378.json
[2026-02-17T08:05:13.158+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315389.json
[2026-02-17T08:05:13.174+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315399.json
[2026-02-17T08:05:13.189+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315411.json
[2026-02-17T08:05:13.202+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315424.json
[2026-02-17T08:05:13.217+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315437.json
[2026-02-17T08:05:13.228+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315451.json
