[2026-02-17T08:05:06.343+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T08:05:06.589+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T08:00:00+00:00 [queued]>
[2026-02-17T08:05:06.613+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T08:00:00+00:00 [queued]>
[2026-02-17T08:05:06.616+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T08:05:06.665+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 08:00:00+00:00
[2026-02-17T08:05:06.730+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T08:00:00+00:00', '--job-id', '1508', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpl6sz0izh']
[2026-02-17T08:05:06.825+0000] {standard_task_runner.py:91} INFO - Job 1508: Subtask download_minio
[2026-02-17T08:05:06.920+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1020) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T08:05:06.925+0000] {standard_task_runner.py:64} INFO - Started process 1023 to run task
[2026-02-17T08:05:07.273+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T08:00:00+00:00 [running]> on host 2a72b80a66a9
[2026-02-17T08:05:07.739+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T08:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T08:00:00+00:00'
[2026-02-17T08:05:07.741+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T08:05:09.289+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315083.json
[2026-02-17T08:05:09.312+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315095.json
[2026-02-17T08:05:09.335+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315106.json
[2026-02-17T08:05:09.360+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315117.json
[2026-02-17T08:05:09.383+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315128.json
[2026-02-17T08:05:09.403+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315140.json
[2026-02-17T08:05:09.428+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315152.json
[2026-02-17T08:05:09.449+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315163.json
[2026-02-17T08:05:09.470+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315174.json
[2026-02-17T08:05:09.492+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315186.json
[2026-02-17T08:05:09.510+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315197.json
[2026-02-17T08:05:09.528+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315209.json
[2026-02-17T08:05:09.549+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315221.json
[2026-02-17T08:05:09.569+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315232.json
[2026-02-17T08:05:09.588+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315243.json
[2026-02-17T08:05:09.605+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315255.json
[2026-02-17T08:05:09.622+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315267.json
[2026-02-17T08:05:09.638+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315279.json
[2026-02-17T08:05:09.652+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315291.json
[2026-02-17T08:05:09.666+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315301.json
[2026-02-17T08:05:09.678+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315311.json
