[2026-02-17T08:10:03.977+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T08:10:04.121+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T08:05:00+00:00 [queued]>
[2026-02-17T08:10:04.141+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T08:05:00+00:00 [queued]>
[2026-02-17T08:10:04.142+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T08:10:04.167+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 08:05:00+00:00
[2026-02-17T08:10:04.183+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T08:05:00+00:00', '--job-id', '1512', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmps_8g4h9y']
[2026-02-17T08:10:04.188+0000] {standard_task_runner.py:91} INFO - Job 1512: Subtask download_minio
[2026-02-17T08:10:04.188+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=2603) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T08:10:04.190+0000] {standard_task_runner.py:64} INFO - Started process 2606 to run task
[2026-02-17T08:10:04.404+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T08:05:00+00:00 [running]> on host 2a72b80a66a9
[2026-02-17T08:10:04.844+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T08:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T08:05:00+00:00'
[2026-02-17T08:10:04.850+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T08:10:05.983+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315083.json
[2026-02-17T08:10:06.017+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315095.json
[2026-02-17T08:10:06.047+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315106.json
[2026-02-17T08:10:06.084+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315117.json
[2026-02-17T08:10:06.109+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315128.json
[2026-02-17T08:10:06.129+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315140.json
[2026-02-17T08:10:06.152+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315152.json
[2026-02-17T08:10:06.190+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315163.json
[2026-02-17T08:10:06.210+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315174.json
[2026-02-17T08:10:06.240+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315186.json
[2026-02-17T08:10:06.262+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315197.json
[2026-02-17T08:10:06.283+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315209.json
[2026-02-17T08:10:06.305+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315221.json
[2026-02-17T08:10:06.330+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315232.json
[2026-02-17T08:10:06.357+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315243.json
[2026-02-17T08:10:06.381+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315255.json
[2026-02-17T08:10:06.404+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315267.json
[2026-02-17T08:10:06.422+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315279.json
[2026-02-17T08:10:06.441+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315291.json
[2026-02-17T08:10:06.460+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315301.json
[2026-02-17T08:10:06.475+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315311.json
[2026-02-17T08:10:06.491+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315323.json
[2026-02-17T08:10:06.524+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315334.json
[2026-02-17T08:10:06.537+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771315346.json
