[2026-02-17T10:47:33.367+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T10:47:33.422+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T08:10:00+00:00 [queued]>
[2026-02-17T10:47:33.444+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T08:10:00+00:00 [queued]>
[2026-02-17T10:47:33.446+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2026-02-17T10:47:33.474+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 08:10:00+00:00
[2026-02-17T10:47:33.499+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T08:10:00+00:00', '--job-id', '1521', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpulqefu8n']
[2026-02-17T10:47:33.509+0000] {standard_task_runner.py:91} INFO - Job 1521: Subtask download_minio
[2026-02-17T10:47:33.513+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=588) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T10:47:33.514+0000] {standard_task_runner.py:64} INFO - Started process 593 to run task
[2026-02-17T10:47:33.833+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T08:10:00+00:00 [running]> on host bc06947cd9a6
[2026-02-17T10:47:34.338+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T08:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T08:10:00+00:00'
[2026-02-17T10:47:34.340+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T10:47:35.087+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324930.json
[2026-02-17T10:47:35.101+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324943.json
[2026-02-17T10:47:35.112+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324953.json
[2026-02-17T10:47:35.121+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324964.json
[2026-02-17T10:47:35.131+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324974.json
[2026-02-17T10:47:35.139+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324985.json
[2026-02-17T10:47:35.149+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324996.json
[2026-02-17T10:47:35.170+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325007.json
[2026-02-17T10:47:35.180+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325017.json
[2026-02-17T10:47:35.191+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325028.json
[2026-02-17T10:47:35.205+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325039.json
[2026-02-17T10:47:35.216+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325049.json
[2026-02-17T10:47:35.229+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325059.json
[2026-02-17T10:47:35.239+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325069.json
[2026-02-17T10:47:35.254+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325080.json
[2026-02-17T10:47:35.267+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325090.json
[2026-02-17T10:47:35.279+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325101.json
[2026-02-17T10:47:35.289+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325112.json
[2026-02-17T10:47:35.300+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325122.json
[2026-02-17T10:47:35.309+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325132.json
[2026-02-17T10:47:35.317+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325143.json
[2026-02-17T10:47:35.328+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325153.json
[2026-02-17T10:47:35.336+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325163.json
[2026-02-17T10:47:35.346+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325174.json
[2026-02-17T10:47:35.356+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325184.json
[2026-02-17T10:47:35.369+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325195.json
[2026-02-17T10:47:35.385+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325205.json
[2026-02-17T10:47:35.398+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325215.json
[2026-02-17T10:47:35.410+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325226.json
[2026-02-17T10:47:35.419+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325236.json
[2026-02-17T10:47:35.432+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325247.json
[2026-02-17T10:47:35.446+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771324936.json
[2026-02-17T10:47:35.459+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771324946.json
[2026-02-17T10:47:35.475+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771324957.json
[2026-02-17T10:47:35.486+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771324968.json
[2026-02-17T10:47:35.496+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771324978.json
[2026-02-17T10:47:35.507+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771324989.json
[2026-02-17T10:47:35.517+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771325000.json
[2026-02-17T10:47:35.528+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771325010.json
[2026-02-17T10:47:35.538+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771325021.json
[2026-02-17T10:47:35.548+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771325032.json
[2026-02-17T10:47:35.558+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771325042.json
