[2026-02-17T10:45:05.687+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T10:45:05.801+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T10:40:00+00:00 [queued]>
[2026-02-17T10:45:05.813+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T10:40:00+00:00 [queued]>
[2026-02-17T10:45:05.814+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T10:45:05.834+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 10:40:00+00:00
[2026-02-17T10:45:05.880+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T10:40:00+00:00', '--job-id', '1518', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpapc74hba']
[2026-02-17T10:45:05.898+0000] {standard_task_runner.py:91} INFO - Job 1518: Subtask download_minio
[2026-02-17T10:45:05.912+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=211) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T10:45:05.916+0000] {standard_task_runner.py:64} INFO - Started process 214 to run task
[2026-02-17T10:45:06.159+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T10:40:00+00:00 [running]> on host bc06947cd9a6
[2026-02-17T10:45:06.461+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T10:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T10:40:00+00:00'
[2026-02-17T10:45:06.464+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T10:45:07.501+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324930.json
[2026-02-17T10:45:07.512+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324943.json
[2026-02-17T10:45:07.525+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324953.json
[2026-02-17T10:45:07.536+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324964.json
[2026-02-17T10:45:07.548+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324974.json
[2026-02-17T10:45:07.561+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324985.json
[2026-02-17T10:45:07.570+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324996.json
[2026-02-17T10:45:07.589+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325007.json
[2026-02-17T10:45:07.603+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325017.json
[2026-02-17T10:45:07.613+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325028.json
[2026-02-17T10:45:07.624+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325039.json
[2026-02-17T10:45:07.634+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325049.json
[2026-02-17T10:45:07.648+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325059.json
[2026-02-17T10:45:07.657+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325069.json
[2026-02-17T10:45:07.666+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325080.json
[2026-02-17T10:45:07.676+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325090.json
[2026-02-17T10:45:07.687+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325101.json
[2026-02-17T10:45:07.699+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771324936.json
[2026-02-17T10:45:07.709+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771324946.json
[2026-02-17T10:45:07.720+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771324957.json
[2026-02-17T10:45:07.730+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1771324968.json
