[2026-02-17T10:55:06.547+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T10:55:06.870+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T10:50:00+00:00 [queued]>
[2026-02-17T10:55:06.916+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T10:50:00+00:00 [queued]>
[2026-02-17T10:55:06.918+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T10:55:06.966+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 10:50:00+00:00
[2026-02-17T10:55:07.107+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T10:50:00+00:00', '--job-id', '1526', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpfp3uav1m']
[2026-02-17T10:55:07.140+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=2814) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T10:55:07.154+0000] {standard_task_runner.py:91} INFO - Job 1526: Subtask download_minio
[2026-02-17T10:55:07.155+0000] {standard_task_runner.py:64} INFO - Started process 2817 to run task
[2026-02-17T10:55:07.907+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T10:50:00+00:00 [running]> on host bc06947cd9a6
[2026-02-17T10:55:08.600+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T10:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T10:50:00+00:00'
[2026-02-17T10:55:08.609+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T10:55:11.327+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324930.json
[2026-02-17T10:55:11.353+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324943.json
[2026-02-17T10:55:11.380+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324953.json
[2026-02-17T10:55:11.405+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324964.json
[2026-02-17T10:55:11.429+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324974.json
[2026-02-17T10:55:11.452+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324985.json
[2026-02-17T10:55:11.475+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324996.json
[2026-02-17T10:55:11.499+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325007.json
[2026-02-17T10:55:11.522+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325017.json
[2026-02-17T10:55:11.545+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325028.json
[2026-02-17T10:55:11.571+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325039.json
[2026-02-17T10:55:11.597+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325049.json
[2026-02-17T10:55:11.620+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325059.json
[2026-02-17T10:55:11.642+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325069.json
[2026-02-17T10:55:11.697+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325080.json
[2026-02-17T10:55:11.749+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325090.json
[2026-02-17T10:55:11.780+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325101.json
[2026-02-17T10:55:11.817+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325112.json
[2026-02-17T10:55:11.852+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325122.json
[2026-02-17T10:55:11.893+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325132.json
[2026-02-17T10:55:11.925+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325143.json
[2026-02-17T10:55:11.952+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325153.json
[2026-02-17T10:55:11.978+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325163.json
[2026-02-17T10:55:12.000+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325174.json
[2026-02-17T10:55:12.026+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325184.json
[2026-02-17T10:55:12.103+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325195.json
[2026-02-17T10:55:12.195+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325205.json
[2026-02-17T10:55:12.269+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325215.json
[2026-02-17T10:55:12.406+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325226.json
[2026-02-17T10:55:12.444+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325236.json
[2026-02-17T10:55:12.486+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325247.json
[2026-02-17T10:55:12.538+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325257.json
[2026-02-17T10:55:12.577+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325269.json
[2026-02-17T10:55:12.614+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325279.json
[2026-02-17T10:55:12.661+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325289.json
[2026-02-17T10:55:12.714+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325300.json
[2026-02-17T10:55:12.760+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325334.json
[2026-02-17T10:55:12.800+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325344.json
[2026-02-17T10:55:12.829+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325354.json
[2026-02-17T10:55:12.862+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325365.json
[2026-02-17T10:55:12.888+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325375.json
[2026-02-17T10:55:12.917+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325385.json
[2026-02-17T10:55:12.948+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325396.json
[2026-02-17T10:55:12.977+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325408.json
[2026-02-17T10:55:12.999+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325419.json
[2026-02-17T10:55:13.040+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325431.json
[2026-02-17T10:55:13.085+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325442.json
[2026-02-17T10:55:13.119+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325454.json
[2026-02-17T10:55:13.156+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325464.json
[2026-02-17T10:55:13.190+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325474.json
[2026-02-17T10:55:13.221+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325485.json
