[2026-02-17T11:35:04.815+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T11:35:04.968+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T11:30:00+00:00 [queued]>
[2026-02-17T11:35:04.995+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T11:30:00+00:00 [queued]>
[2026-02-17T11:35:04.999+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T11:35:05.038+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 11:30:00+00:00
[2026-02-17T11:35:05.088+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=27416) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T11:35:05.080+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T11:30:00+00:00', '--job-id', '1542', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpfi1c1v_m']
[2026-02-17T11:35:05.092+0000] {standard_task_runner.py:64} INFO - Started process 27435 to run task
[2026-02-17T11:35:05.093+0000] {standard_task_runner.py:91} INFO - Job 1542: Subtask download_minio
[2026-02-17T11:35:05.614+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T11:30:00+00:00 [running]> on host bc06947cd9a6
[2026-02-17T11:35:05.969+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T11:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T11:30:00+00:00'
[2026-02-17T11:35:05.974+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T11:35:11.356+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324930.json
[2026-02-17T11:35:11.384+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324943.json
[2026-02-17T11:35:11.413+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324953.json
[2026-02-17T11:35:11.441+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324964.json
[2026-02-17T11:35:11.473+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324974.json
[2026-02-17T11:35:11.498+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324985.json
[2026-02-17T11:35:11.530+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324996.json
[2026-02-17T11:35:11.554+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325007.json
[2026-02-17T11:35:11.575+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325017.json
[2026-02-17T11:35:11.600+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325028.json
[2026-02-17T11:35:11.623+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325039.json
[2026-02-17T11:35:11.645+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325049.json
[2026-02-17T11:35:11.669+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325059.json
[2026-02-17T11:35:11.695+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325069.json
[2026-02-17T11:35:11.720+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325080.json
[2026-02-17T11:35:11.753+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325090.json
[2026-02-17T11:35:11.786+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325101.json
[2026-02-17T11:35:11.807+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325112.json
[2026-02-17T11:35:11.829+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325122.json
[2026-02-17T11:35:11.852+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325132.json
[2026-02-17T11:35:11.871+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325143.json
[2026-02-17T11:35:11.893+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325153.json
[2026-02-17T11:35:11.915+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325163.json
[2026-02-17T11:35:11.938+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325174.json
[2026-02-17T11:35:11.966+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325184.json
[2026-02-17T11:35:11.993+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325195.json
[2026-02-17T11:35:12.027+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325205.json
[2026-02-17T11:35:12.053+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325215.json
[2026-02-17T11:35:12.076+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325226.json
[2026-02-17T11:35:12.102+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325236.json
[2026-02-17T11:35:12.127+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325247.json
[2026-02-17T11:35:12.157+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325257.json
[2026-02-17T11:35:12.184+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325269.json
[2026-02-17T11:35:12.209+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325279.json
[2026-02-17T11:35:12.237+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325289.json
[2026-02-17T11:35:12.262+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325300.json
[2026-02-17T11:35:12.286+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325334.json
[2026-02-17T11:35:12.312+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325344.json
[2026-02-17T11:35:12.340+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325354.json
[2026-02-17T11:35:12.366+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325365.json
[2026-02-17T11:35:12.391+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325375.json
[2026-02-17T11:35:12.419+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325385.json
[2026-02-17T11:35:12.443+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325396.json
[2026-02-17T11:35:12.469+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325408.json
[2026-02-17T11:35:12.497+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325419.json
[2026-02-17T11:35:12.529+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325431.json
[2026-02-17T11:35:12.561+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325442.json
[2026-02-17T11:35:12.591+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325454.json
