[2026-02-17T11:40:05.274+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T11:40:05.494+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T11:35:00+00:00 [queued]>
[2026-02-17T11:40:05.526+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T11:35:00+00:00 [queued]>
[2026-02-17T11:40:05.528+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T11:40:05.587+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 11:35:00+00:00
[2026-02-17T11:40:05.639+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T11:35:00+00:00', '--job-id', '1544', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpf_vke0k_']
[2026-02-17T11:40:05.653+0000] {standard_task_runner.py:91} INFO - Job 1544: Subtask download_minio
[2026-02-17T11:40:05.652+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=32412) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T11:40:05.656+0000] {standard_task_runner.py:64} INFO - Started process 32466 to run task
[2026-02-17T11:40:05.968+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T11:35:00+00:00 [running]> on host bc06947cd9a6
[2026-02-17T11:40:06.372+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T11:35:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T11:35:00+00:00'
[2026-02-17T11:40:06.376+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T11:40:12.667+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324930.json
[2026-02-17T11:40:12.734+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324943.json
[2026-02-17T11:40:12.813+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324953.json
[2026-02-17T11:40:12.858+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324964.json
[2026-02-17T11:40:12.914+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324974.json
[2026-02-17T11:40:12.985+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324985.json
[2026-02-17T11:40:13.024+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324996.json
[2026-02-17T11:40:13.089+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325007.json
[2026-02-17T11:40:13.130+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325017.json
[2026-02-17T11:40:13.158+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325028.json
[2026-02-17T11:40:13.205+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325039.json
[2026-02-17T11:40:13.247+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325049.json
[2026-02-17T11:40:13.295+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325059.json
[2026-02-17T11:40:13.327+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325069.json
[2026-02-17T11:40:13.356+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325080.json
[2026-02-17T11:40:13.384+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325090.json
[2026-02-17T11:40:13.416+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325101.json
[2026-02-17T11:40:13.445+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325112.json
[2026-02-17T11:40:13.487+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325122.json
[2026-02-17T11:40:13.512+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325132.json
[2026-02-17T11:40:13.540+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325143.json
[2026-02-17T11:40:13.567+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325153.json
[2026-02-17T11:40:13.592+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325163.json
[2026-02-17T11:40:13.632+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325174.json
[2026-02-17T11:40:13.666+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325184.json
[2026-02-17T11:40:13.689+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325195.json
[2026-02-17T11:40:13.714+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325205.json
[2026-02-17T11:40:13.745+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325215.json
[2026-02-17T11:40:13.770+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325226.json
[2026-02-17T11:40:13.796+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325236.json
[2026-02-17T11:40:13.829+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325247.json
[2026-02-17T11:40:13.864+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325257.json
[2026-02-17T11:40:13.889+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325269.json
[2026-02-17T11:40:13.912+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325279.json
[2026-02-17T11:40:13.938+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325289.json
[2026-02-17T11:40:13.959+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325300.json
[2026-02-17T11:40:13.983+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325334.json
[2026-02-17T11:40:14.025+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325344.json
[2026-02-17T11:40:14.062+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325354.json
[2026-02-17T11:40:14.093+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325365.json
[2026-02-17T11:40:14.124+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325375.json
[2026-02-17T11:40:14.170+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325385.json
[2026-02-17T11:40:14.211+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325396.json
[2026-02-17T11:40:14.245+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325408.json
[2026-02-17T11:40:14.272+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325419.json
