[2026-02-17T12:05:31.357+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T12:05:31.565+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T12:00:00+00:00 [queued]>
[2026-02-17T12:05:31.636+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T12:00:00+00:00 [queued]>
[2026-02-17T12:05:31.643+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T12:05:31.709+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 12:00:00+00:00
[2026-02-17T12:05:31.793+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=59332) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T12:05:31.798+0000] {standard_task_runner.py:64} INFO - Started process 59415 to run task
[2026-02-17T12:05:31.797+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T12:00:00+00:00', '--job-id', '1555', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpli03_7c3']
[2026-02-17T12:05:31.807+0000] {standard_task_runner.py:91} INFO - Job 1555: Subtask download_minio
[2026-02-17T12:05:32.243+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T12:00:00+00:00 [running]> on host bc06947cd9a6
[2026-02-17T12:05:32.845+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T12:00:00+00:00'
[2026-02-17T12:05:32.854+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T12:05:43.460+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324930.json
[2026-02-17T12:05:43.514+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324943.json
[2026-02-17T12:05:43.549+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324953.json
[2026-02-17T12:05:43.585+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324964.json
[2026-02-17T12:05:43.621+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324974.json
[2026-02-17T12:05:43.659+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324985.json
[2026-02-17T12:05:43.692+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324996.json
[2026-02-17T12:05:43.714+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325007.json
[2026-02-17T12:05:43.743+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325017.json
[2026-02-17T12:05:43.784+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325028.json
[2026-02-17T12:05:43.809+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325039.json
[2026-02-17T12:05:43.837+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325049.json
[2026-02-17T12:05:43.864+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325059.json
[2026-02-17T12:05:43.894+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325069.json
[2026-02-17T12:05:43.933+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325080.json
[2026-02-17T12:05:43.961+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325090.json
[2026-02-17T12:05:44.003+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325101.json
[2026-02-17T12:05:44.044+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325112.json
[2026-02-17T12:05:44.083+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325122.json
[2026-02-17T12:05:44.116+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325132.json
[2026-02-17T12:05:44.150+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325143.json
