[2026-02-17T12:20:16.941+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T12:20:17.212+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T12:15:00+00:00 [queued]>
[2026-02-17T12:20:17.240+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T12:15:00+00:00 [queued]>
[2026-02-17T12:20:17.246+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T12:20:17.302+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 12:15:00+00:00
[2026-02-17T12:20:17.369+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=78198) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T12:20:17.374+0000] {standard_task_runner.py:64} INFO - Started process 78429 to run task
[2026-02-17T12:20:17.369+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T12:15:00+00:00', '--job-id', '1559', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpw6g77bl6']
[2026-02-17T12:20:17.381+0000] {standard_task_runner.py:91} INFO - Job 1559: Subtask download_minio
[2026-02-17T12:20:18.208+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T12:15:00+00:00 [running]> on host bc06947cd9a6
[2026-02-17T12:20:19.066+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T12:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T12:15:00+00:00'
[2026-02-17T12:20:19.072+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T12:20:26.637+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324930.json
[2026-02-17T12:20:26.685+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324943.json
[2026-02-17T12:20:26.840+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324953.json
[2026-02-17T12:20:26.889+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324964.json
[2026-02-17T12:20:26.987+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324974.json
[2026-02-17T12:20:27.236+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324985.json
[2026-02-17T12:20:27.284+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771324996.json
[2026-02-17T12:20:27.331+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325007.json
[2026-02-17T12:20:27.379+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325017.json
[2026-02-17T12:20:27.443+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325028.json
[2026-02-17T12:20:27.492+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325039.json
[2026-02-17T12:20:27.566+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325049.json
[2026-02-17T12:20:27.717+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325059.json
[2026-02-17T12:20:27.786+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325069.json
[2026-02-17T12:20:27.864+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325080.json
[2026-02-17T12:20:27.917+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325090.json
[2026-02-17T12:20:27.975+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325101.json
[2026-02-17T12:20:28.024+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325112.json
[2026-02-17T12:20:28.074+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325122.json
[2026-02-17T12:20:28.116+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325132.json
[2026-02-17T12:20:28.170+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325143.json
[2026-02-17T12:20:28.207+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325153.json
[2026-02-17T12:20:28.261+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325163.json
[2026-02-17T12:20:28.299+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325174.json
[2026-02-17T12:20:28.331+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325184.json
[2026-02-17T12:20:28.363+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325195.json
[2026-02-17T12:20:28.412+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325205.json
[2026-02-17T12:20:28.463+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325215.json
[2026-02-17T12:20:28.492+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325226.json
[2026-02-17T12:20:28.526+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325236.json
[2026-02-17T12:20:28.560+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325247.json
[2026-02-17T12:20:28.597+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325257.json
[2026-02-17T12:20:28.631+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325269.json
[2026-02-17T12:20:28.663+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325279.json
[2026-02-17T12:20:28.710+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325289.json
[2026-02-17T12:20:28.741+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325300.json
[2026-02-17T12:20:28.785+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325334.json
[2026-02-17T12:20:28.843+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325344.json
[2026-02-17T12:20:28.874+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325354.json
[2026-02-17T12:20:28.911+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325365.json
[2026-02-17T12:20:28.939+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325375.json
[2026-02-17T12:20:28.971+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325385.json
[2026-02-17T12:20:29.018+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325396.json
[2026-02-17T12:20:29.061+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325408.json
[2026-02-17T12:20:29.110+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325419.json
[2026-02-17T12:20:29.191+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325431.json
[2026-02-17T12:20:29.238+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325442.json
[2026-02-17T12:20:29.285+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325454.json
[2026-02-17T12:20:29.323+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325464.json
[2026-02-17T12:20:29.352+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325474.json
[2026-02-17T12:20:29.383+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325485.json
[2026-02-17T12:20:29.416+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325496.json
[2026-02-17T12:20:29.444+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325507.json
[2026-02-17T12:20:29.483+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325517.json
[2026-02-17T12:20:29.513+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325528.json
[2026-02-17T12:20:29.565+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325539.json
[2026-02-17T12:20:29.609+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325549.json
[2026-02-17T12:20:29.641+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325559.json
[2026-02-17T12:20:29.678+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325569.json
[2026-02-17T12:20:29.713+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325580.json
[2026-02-17T12:20:29.741+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325590.json
[2026-02-17T12:20:29.772+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325600.json
[2026-02-17T12:20:29.804+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325612.json
[2026-02-17T12:20:29.839+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325623.json
[2026-02-17T12:20:29.915+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325633.json
[2026-02-17T12:20:30.008+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325644.json
[2026-02-17T12:20:30.059+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325655.json
[2026-02-17T12:20:30.171+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325666.json
[2026-02-17T12:20:30.239+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325676.json
[2026-02-17T12:20:30.297+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325686.json
[2026-02-17T12:20:30.423+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325697.json
[2026-02-17T12:20:30.504+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325708.json
[2026-02-17T12:20:30.634+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325718.json
[2026-02-17T12:20:30.682+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325729.json
[2026-02-17T12:20:30.814+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325739.json
[2026-02-17T12:20:30.864+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325750.json
[2026-02-17T12:20:30.914+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325761.json
[2026-02-17T12:20:30.967+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325776.json
[2026-02-17T12:20:31.007+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325787.json
[2026-02-17T12:20:31.048+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325800.json
[2026-02-17T12:20:31.138+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325810.json
[2026-02-17T12:20:31.203+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325820.json
[2026-02-17T12:20:31.313+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325831.json
[2026-02-17T12:20:31.390+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325841.json
[2026-02-17T12:20:31.494+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325851.json
[2026-02-17T12:20:31.572+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325863.json
[2026-02-17T12:20:31.700+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325874.json
[2026-02-17T12:20:31.888+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325885.json
[2026-02-17T12:20:32.066+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325898.json
[2026-02-17T12:20:32.166+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325910.json
[2026-02-17T12:20:32.253+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325921.json
[2026-02-17T12:20:32.591+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325932.json
[2026-02-17T12:20:32.739+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325944.json
[2026-02-17T12:20:32.883+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325955.json
[2026-02-17T12:20:33.006+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325969.json
[2026-02-17T12:20:33.169+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325980.json
[2026-02-17T12:20:33.233+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771325991.json
[2026-02-17T12:20:33.328+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326002.json
[2026-02-17T12:20:33.414+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326012.json
[2026-02-17T12:20:33.558+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326023.json
[2026-02-17T12:20:33.674+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326034.json
[2026-02-17T12:20:33.868+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326044.json
[2026-02-17T12:20:34.050+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326054.json
[2026-02-17T12:20:34.187+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326064.json
[2026-02-17T12:20:34.245+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326074.json
[2026-02-17T12:20:34.352+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326084.json
[2026-02-17T12:20:34.450+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326095.json
[2026-02-17T12:20:34.513+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326108.json
[2026-02-17T12:20:34.635+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326121.json
[2026-02-17T12:20:34.704+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326135.json
[2026-02-17T12:20:34.769+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326145.json
[2026-02-17T12:20:34.852+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326157.json
[2026-02-17T12:20:34.955+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326168.json
[2026-02-17T12:20:35.241+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326180.json
[2026-02-17T12:20:35.413+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326190.json
[2026-02-17T12:20:35.497+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326201.json
[2026-02-17T12:20:35.633+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326211.json
[2026-02-17T12:20:35.953+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326221.json
[2026-02-17T12:20:36.175+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326231.json
[2026-02-17T12:20:36.379+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326241.json
[2026-02-17T12:20:36.644+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326252.json
[2026-02-17T12:20:37.372+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326262.json
[2026-02-17T12:20:37.442+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326272.json
[2026-02-17T12:20:37.526+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326282.json
[2026-02-17T12:20:38.082+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326293.json
[2026-02-17T12:20:38.144+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326309.json
[2026-02-17T12:20:38.221+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326320.json
[2026-02-17T12:20:38.285+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326331.json
[2026-02-17T12:20:38.365+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326347.json
[2026-02-17T12:20:38.434+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326358.json
[2026-02-17T12:20:38.487+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326370.json
[2026-02-17T12:20:38.612+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326381.json
[2026-02-17T12:20:38.723+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326391.json
[2026-02-17T12:20:38.852+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326402.json
[2026-02-17T12:20:38.981+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326412.json
[2026-02-17T12:20:39.088+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326422.json
[2026-02-17T12:20:39.168+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326433.json
[2026-02-17T12:20:39.210+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326443.json
[2026-02-17T12:20:39.267+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326452.json
[2026-02-17T12:20:39.334+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326463.json
[2026-02-17T12:20:39.386+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326473.json
[2026-02-17T12:20:39.465+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326483.json
[2026-02-17T12:20:39.514+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326493.json
[2026-02-17T12:20:39.581+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326504.json
[2026-02-17T12:20:39.647+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326514.json
[2026-02-17T12:20:39.716+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326525.json
[2026-02-17T12:20:39.834+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326535.json
[2026-02-17T12:20:39.891+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326545.json
[2026-02-17T12:20:39.950+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326555.json
[2026-02-17T12:20:40.011+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326566.json
[2026-02-17T12:20:40.087+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326576.json
[2026-02-17T12:20:40.145+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326585.json
[2026-02-17T12:20:40.208+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326595.json
[2026-02-17T12:20:40.260+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771326605.json
